,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5392156862745098
1,25,10.0,2,log2,0.5318627450980392
2,25,10.0,3,sqrt,0.5318627450980392
3,25,10.0,3,log2,0.5318627450980392
4,25,10.0,5,sqrt,0.5428921568627451
5,25,10.0,5,log2,0.5245098039215687
6,25,15.0,2,sqrt,0.5404411764705882
7,25,15.0,2,log2,0.5490196078431373
8,25,15.0,3,sqrt,0.5453431372549019
9,25,15.0,3,log2,0.5441176470588235
10,25,15.0,5,sqrt,0.5428921568627451
11,25,15.0,5,log2,0.5575980392156863
12,25,20.0,2,sqrt,0.5404411764705882
13,25,20.0,2,log2,0.5490196078431373
14,25,20.0,3,sqrt,0.5367647058823529
15,25,20.0,3,log2,0.5269607843137255
16,25,20.0,5,sqrt,0.5612745098039216
17,25,20.0,5,log2,0.5465686274509803
18,25,,2,sqrt,0.5392156862745098
19,25,,2,log2,0.5281862745098039
20,25,,3,sqrt,0.5502450980392157
21,25,,3,log2,0.5281862745098039
22,25,,5,sqrt,0.553921568627451
23,25,,5,log2,0.5257352941176471
24,50,10.0,2,sqrt,0.5404411764705882
25,50,10.0,2,log2,0.5367647058823529
26,50,10.0,3,sqrt,0.5551470588235294
27,50,10.0,3,log2,0.5367647058823529
28,50,10.0,5,sqrt,0.5514705882352942
29,50,10.0,5,log2,0.5367647058823529
30,50,15.0,2,sqrt,0.5343137254901961
31,50,15.0,2,log2,0.5477941176470589
32,50,15.0,3,sqrt,0.5600490196078431
33,50,15.0,3,log2,0.5453431372549019
34,50,15.0,5,sqrt,0.5502450980392157
35,50,15.0,5,log2,0.5502450980392157
36,50,20.0,2,sqrt,0.5686274509803921
37,50,20.0,2,log2,0.5404411764705882
38,50,20.0,3,sqrt,0.5526960784313726
39,50,20.0,3,log2,0.5404411764705882
40,50,20.0,5,sqrt,0.5600490196078431
41,50,20.0,5,log2,0.5257352941176471
42,50,,2,sqrt,0.5514705882352942
43,50,,2,log2,0.5502450980392157
44,50,,3,sqrt,0.5416666666666666
45,50,,3,log2,0.5269607843137255
46,50,,5,sqrt,0.5465686274509803
47,50,,5,log2,0.5294117647058824
48,100,10.0,2,sqrt,0.5526960784313726
49,100,10.0,2,log2,0.5453431372549019
50,100,10.0,3,sqrt,0.5343137254901961
51,100,10.0,3,log2,0.5441176470588235
52,100,10.0,5,sqrt,0.5526960784313726
53,100,10.0,5,log2,0.5600490196078431
54,100,15.0,2,sqrt,0.5490196078431373
55,100,15.0,2,log2,0.5674019607843137
56,100,15.0,3,sqrt,0.5600490196078431
57,100,15.0,3,log2,0.5612745098039216
58,100,15.0,5,sqrt,0.5416666666666666
59,100,15.0,5,log2,0.5477941176470589
60,100,20.0,2,sqrt,0.5379901960784313
61,100,20.0,2,log2,0.5441176470588235
62,100,20.0,3,sqrt,0.5477941176470589
63,100,20.0,3,log2,0.5453431372549019
64,100,20.0,5,sqrt,0.5502450980392157
65,100,20.0,5,log2,0.5502450980392157
66,100,,2,sqrt,0.5526960784313726
67,100,,2,log2,0.5551470588235294
68,100,,3,sqrt,0.5734761314372549
69,100,,3,log2,0.5514705882352942
70,100,,5,sqrt,0.5575980392156863
71,100,,5,log2,0.5404411764705882
72,150,10.0,2,sqrt,0.5330882352941176
73,150,10.0,2,log2,0.5318627450980392
74,150,10.0,3,sqrt,0.5220588235294118
75,150,10.0,3,log2,0.5379901960784313
76,150,10.0,5,sqrt,0.5453431372549019
77,150,10.0,5,log2,0.5465686274509803
78,150,15.0,2,sqrt,0.5477941176470589
79,150,15.0,2,log2,0.5551470588235294
80,150,15.0,3,sqrt,0.5477941176470589
81,150,15.0,3,log2,0.5416666666666666
82,150,15.0,5,sqrt,0.5416666666666666
83,150,15.0,5,log2,0.553921568627451
84,150,20.0,2,sqrt,0.5563725490196079
85,150,20.0,2,log2,0.5514705882352942
86,150,20.0,3,sqrt,0.5600490196078431
87,150,20.0,3,log2,0.5465686274509803
88,150,20.0,5,sqrt,0.5637254901960784
89,150,20.0,5,log2,0.5526960784313726
90,150,,2,sqrt,0.5563725490196079
91,150,,2,log2,0.5416666666666666
92,150,,3,sqrt,0.5600490196078431
93,150,,3,log2,0.5514705882352942
94,150,,5,sqrt,0.5600490196078431
95,150,,5,log2,0.5612745098039216
96,200,10.0,2,sqrt,0.5477941176470589
97,200,10.0,2,log2,0.5490196078431373
98,200,10.0,3,sqrt,0.5392156862745098
99,200,10.0,3,log2,0.5563725490196079
100,200,10.0,5,sqrt,0.553921568627451
101,200,10.0,5,log2,0.5514705882352942
102,200,15.0,2,sqrt,0.5674019607843137
103,200,15.0,2,log2,0.5637254901960784
104,200,15.0,3,sqrt,0.5563725490196079
105,200,15.0,3,log2,0.5490196078431373
106,200,15.0,5,sqrt,0.5551470588235294
107,200,15.0,5,log2,0.5465686274509803
108,200,20.0,2,sqrt,0.5612745098039216
109,200,20.0,2,log2,0.5551470588235294
110,200,20.0,3,sqrt,0.5637254901960784
111,200,20.0,3,log2,0.5612745098039216
112,200,20.0,5,sqrt,0.5649509803921569
113,200,20.0,5,log2,0.5490196078431373
114,200,,2,sqrt,0.5686274509803921
115,200,,2,log2,0.5600490196078431
116,200,,3,sqrt,0.5612745098039216
117,200,,3,log2,0.571078431372549
118,200,,5,sqrt,0.553921568627451
119,200,,5,log2,0.5600490196078431
120,500,10.0,2,sqrt,0.5477941176470589
121,500,10.0,2,log2,0.5563725490196079
122,500,10.0,3,sqrt,0.5428921568627451
123,500,10.0,3,log2,0.5514705882352942
124,500,10.0,5,sqrt,0.5453431372549019
125,500,10.0,5,log2,0.5453431372549019
126,500,15.0,2,sqrt,0.5551470588235294
127,500,15.0,2,log2,0.5477941176470589
128,500,15.0,3,sqrt,0.5514705882352942
129,500,15.0,3,log2,0.5526960784313726
130,500,15.0,5,sqrt,0.5674019607843137
131,500,15.0,5,log2,0.5526960784313726
132,500,20.0,2,sqrt,0.5600490196078431
133,500,20.0,2,log2,0.5465686274509803
134,500,20.0,3,sqrt,0.5588235294117647
135,500,20.0,3,log2,0.5600490196078431
136,500,20.0,5,sqrt,0.5588235294117647
137,500,20.0,5,log2,0.5588235294117647
138,500,,2,sqrt,0.5575980392156863
139,500,,2,log2,0.5674019607843137
140,500,,3,sqrt,0.5600490196078431
141,500,,3,log2,0.5637254901960784
142,500,,5,sqrt,0.5563725490196079
143,500,,5,log2,0.5502450980392157
