,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.47706422018348627
1,25,10.0,2,log2,0.5076452599388379
2,25,10.0,3,sqrt,0.5015290519877675
3,25,10.0,3,log2,0.48623853211009177
4,25,10.0,5,sqrt,0.4892966360856269
5,25,10.0,5,log2,0.5504587155963303
6,25,15.0,2,sqrt,0.5015290519877675
7,25,15.0,2,log2,0.5137614678899083
8,25,15.0,3,sqrt,0.5045871559633027
9,25,15.0,3,log2,0.5351681957186545
10,25,15.0,5,sqrt,0.5137614678899083
11,25,15.0,5,log2,0.5321100917431193
12,25,20.0,2,sqrt,0.5137614678899083
13,25,20.0,2,log2,0.4954128440366973
14,25,20.0,3,sqrt,0.5107033639143731
15,25,20.0,3,log2,0.5198776758409785
16,25,20.0,5,sqrt,0.5504587155963303
17,25,20.0,5,log2,0.5412844036697247
18,25,,2,sqrt,0.5045871559633027
19,25,,2,log2,0.5259938837920489
20,25,,3,sqrt,0.5107033639143731
21,25,,3,log2,0.5290519877675841
22,25,,5,sqrt,0.5198776758409785
23,25,,5,log2,0.5565749235474006
24,50,10.0,2,sqrt,0.4984709480122324
25,50,10.0,2,log2,0.48623853211009177
26,50,10.0,3,sqrt,0.5290519877675841
27,50,10.0,3,log2,0.5045871559633027
28,50,10.0,5,sqrt,0.4954128440366973
29,50,10.0,5,log2,0.5015290519877675
30,50,15.0,2,sqrt,0.5412844036697247
31,50,15.0,2,log2,0.5168195718654435
32,50,15.0,3,sqrt,0.5076452599388379
33,50,15.0,3,log2,0.5107033639143731
34,50,15.0,5,sqrt,0.5107033639143731
35,50,15.0,5,log2,0.5137614678899083
36,50,20.0,2,sqrt,0.5412844036697247
37,50,20.0,2,log2,0.5259938837920489
38,50,20.0,3,sqrt,0.5198776758409785
39,50,20.0,3,log2,0.5351681957186545
40,50,20.0,5,sqrt,0.5107033639143731
41,50,20.0,5,log2,0.5321100917431193
42,50,,2,sqrt,0.5107033639143731
43,50,,2,log2,0.5504587155963303
44,50,,3,sqrt,0.5168195718654435
45,50,,3,log2,0.5137614678899083
46,50,,5,sqrt,0.5137614678899083
47,50,,5,log2,0.5198776758409785
48,100,10.0,2,sqrt,0.5015290519877675
49,100,10.0,2,log2,0.4954128440366973
50,100,10.0,3,sqrt,0.5076452599388379
51,100,10.0,3,log2,0.48623853211009177
52,100,10.0,5,sqrt,0.5045871559633027
53,100,10.0,5,log2,0.4892966360856269
54,100,15.0,2,sqrt,0.5259938837920489
55,100,15.0,2,log2,0.5137614678899083
56,100,15.0,3,sqrt,0.5290519877675841
57,100,15.0,3,log2,0.5107033639143731
58,100,15.0,5,sqrt,0.5168195718654435
59,100,15.0,5,log2,0.5076452599388379
60,100,20.0,2,sqrt,0.5229357798165137
61,100,20.0,2,log2,0.5290519877675841
62,100,20.0,3,sqrt,0.5229357798165137
63,100,20.0,3,log2,0.5412844036697247
64,100,20.0,5,sqrt,0.5321100917431193
65,100,20.0,5,log2,0.4954128440366973
66,100,,2,sqrt,0.5412844036697247
67,100,,2,log2,0.5259938837920489
68,100,,3,sqrt,0.5382262996941896
69,100,,3,log2,0.5137614678899083
70,100,,5,sqrt,0.5107033639143731
71,100,,5,log2,0.5229357798165137
72,150,10.0,2,sqrt,0.5107033639143731
73,150,10.0,2,log2,0.4954128440366973
74,150,10.0,3,sqrt,0.5229357798165137
75,150,10.0,3,log2,0.4923547400611621
76,150,10.0,5,sqrt,0.5137614678899083
77,150,10.0,5,log2,0.4923547400611621
78,150,15.0,2,sqrt,0.5137614678899083
79,150,15.0,2,log2,0.5290519877675841
80,150,15.0,3,sqrt,0.5290519877675841
81,150,15.0,3,log2,0.5137614678899083
82,150,15.0,5,sqrt,0.5045871559633027
83,150,15.0,5,log2,0.5137614678899083
84,150,20.0,2,sqrt,0.5107033639143731
85,150,20.0,2,log2,0.5229357798165137
86,150,20.0,3,sqrt,0.5565749235474006
87,150,20.0,3,log2,0.5137614678899083
88,150,20.0,5,sqrt,0.5076452599388379
89,150,20.0,5,log2,0.5535168195718655
90,150,,2,sqrt,0.5412844036697247
91,150,,2,log2,0.5382262996941896
92,150,,3,sqrt,0.5290519877675841
93,150,,3,log2,0.5198776758409785
94,150,,5,sqrt,0.5229357798165137
95,150,,5,log2,0.5351681957186545
96,200,10.0,2,sqrt,0.5015290519877675
97,200,10.0,2,log2,0.5045871559633027
98,200,10.0,3,sqrt,0.5198776758409785
99,200,10.0,3,log2,0.4892966360856269
100,200,10.0,5,sqrt,0.48623853211009177
101,200,10.0,5,log2,0.4984709480122324
102,200,15.0,2,sqrt,0.4984709480122324
103,200,15.0,2,log2,0.5504587155963303
104,200,15.0,3,sqrt,0.5290519877675841
105,200,15.0,3,log2,0.5168195718654435
106,200,15.0,5,sqrt,0.5198776758409785
107,200,15.0,5,log2,0.5198776758409785
108,200,20.0,2,sqrt,0.5351681957186545
109,200,20.0,2,log2,0.5351681957186545
110,200,20.0,3,sqrt,0.5351681957186545
111,200,20.0,3,log2,0.5229357798165137
112,200,20.0,5,sqrt,0.5259938837920489
113,200,20.0,5,log2,0.5290519877675841
114,200,,2,sqrt,0.5229357798165137
115,200,,2,log2,0.5474006116207951
