,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
0,25,10.0,0.01,1,0,0.508682328907048,0.6791666666666667
1,25,10.0,0.01,1,1,0.5025536261491318,0.6791666666666667
2,25,10.0,0.01,1,2,0.5025536261491318,0.6791666666666667
3,25,10.0,0.01,1,3,0.508682328907048,0.6791666666666667
4,25,10.0,0.01,2,0,0.49846782431052095,0.6791666666666667
5,25,10.0,0.01,2,1,0.501532175689479,0.6791666666666667
6,25,10.0,0.01,2,2,0.5025536261491318,0.6791666666666667
7,25,10.0,0.01,2,3,0.5025536261491318,0.6791666666666667
8,25,10.0,0.01,3,0,0.5137895812053116,0.6791666666666667
9,25,10.0,0.01,3,1,0.5117466802860061,0.6791666666666667
10,25,10.0,0.01,3,2,0.5097037793667007,0.6791666666666667
11,25,10.0,0.01,3,3,0.5035750766087844,0.6791666666666667
12,25,10.0,0.01,4,0,0.5066394279877426,0.6791666666666667
13,25,10.0,0.01,4,1,0.49948927477017363,0.6791666666666667
14,25,10.0,0.01,4,2,0.5199182839632278,0.6791666666666667
15,25,10.0,0.01,4,3,0.5199182839632278,0.6791666666666667
16,25,10.0,0.1,1,0,0.5035750766087844,0.6791666666666667
17,25,10.0,0.1,1,1,0.5035750766087844,0.6791666666666667
18,25,10.0,0.1,1,2,0.508682328907048,0.6791666666666667
19,25,10.0,0.1,1,3,0.515832482124617,0.6791666666666667
20,25,10.0,0.1,2,0,0.5137895812053116,0.6791666666666667
21,25,10.0,0.1,2,1,0.5240040858018387,0.6791666666666667
22,25,10.0,0.1,2,2,0.5148110316649642,0.6791666666666667
23,25,10.0,0.1,2,3,0.5117466802860061,0.6791666666666667
24,25,10.0,0.1,3,0,0.5107252298263534,0.6791666666666667
25,25,10.0,0.1,3,1,0.5035750766087844,0.6791666666666667
26,25,10.0,0.1,3,2,0.5076608784473953,0.6791666666666667
27,25,10.0,0.1,3,3,0.5168539325842697,0.6791666666666667
28,25,10.0,0.1,4,0,0.5056179775280899,0.6791666666666667
29,25,10.0,0.1,4,1,0.5148110316649642,0.6791666666666667
30,25,10.0,0.1,4,2,0.526046986721144,0.6791666666666667
31,25,10.0,0.1,4,3,0.5229826353421859,0.6791666666666667
32,25,10.0,0.2,1,0,0.5025536261491318,0.6791666666666667
33,25,10.0,0.2,1,1,0.5127681307456589,0.6791666666666667
34,25,10.0,0.2,1,2,0.5117466802860061,0.6791666666666667
35,25,10.0,0.2,1,3,0.5229826353421859,0.6791666666666667
36,25,10.0,0.2,2,0,0.5188968335035751,0.6791666666666667
37,25,10.0,0.2,2,1,0.5178753830439223,0.6791666666666667
38,25,10.0,0.2,2,2,0.5270684371807968,0.6791666666666667
39,25,10.0,0.2,2,3,0.508682328907048,0.6791666666666667
40,25,10.0,0.2,3,0,0.515832482124617,0.6791666666666667
41,25,10.0,0.2,3,1,0.5250255362614913,0.6791666666666667
42,25,10.0,0.2,3,2,0.49846782431052095,0.6791666666666667
43,25,10.0,0.2,3,3,0.5148110316649642,0.6791666666666667
44,25,10.0,0.2,4,0,0.5188968335035751,0.6791666666666667
45,25,10.0,0.2,4,1,0.5107252298263534,0.6791666666666667
46,25,10.0,0.2,4,2,0.5168539325842697,0.6791666666666667
47,25,10.0,0.2,4,3,0.5168539325842697,0.6791666666666667
48,25,10.0,0.3,1,0,0.5117466802860061,0.6791666666666667
49,25,10.0,0.3,1,1,0.5219611848825332,0.6791666666666667
50,25,10.0,0.3,1,2,0.515832482124617,0.6791666666666667
51,25,10.0,0.3,1,3,0.5025536261491318,0.6791666666666667
52,25,10.0,0.3,2,0,0.5229826353421859,0.6791666666666667
53,25,10.0,0.3,2,1,0.5056179775280899,0.6791666666666667
54,25,10.0,0.3,2,2,0.5148110316649642,0.6791666666666667
55,25,10.0,0.3,2,3,0.5137895812053116,0.6791666666666667
56,25,10.0,0.3,3,0,0.515832482124617,0.6791666666666667
57,25,10.0,0.3,3,1,0.5076608784473953,0.6791666666666667
58,25,10.0,0.3,3,2,0.4943820224719101,0.6791666666666667
59,25,10.0,0.3,3,3,0.5025536261491318,0.6791666666666667
60,25,10.0,0.3,4,0,0.5005107252298263,0.6791666666666667
61,25,10.0,0.3,4,1,0.5056179775280899,0.6791666666666667
62,25,10.0,0.3,4,2,0.5229826353421859,0.6791666666666667
63,25,10.0,0.3,4,3,0.5076608784473953,0.6791666666666667
64,25,15.0,0.01,1,0,0.5025536261491318,0.6791666666666667
65,25,15.0,0.01,1,1,0.5045965270684372,0.6791666666666667
66,25,15.0,0.01,1,2,0.5035750766087844,0.6791666666666667
67,25,15.0,0.01,1,3,0.5097037793667007,0.6791666666666667
68,25,15.0,0.01,2,0,0.4974463738508682,0.6791666666666667
69,25,15.0,0.01,2,1,0.49948927477017363,0.6791666666666667
70,25,15.0,0.01,2,2,0.5025536261491318,0.6791666666666667
71,25,15.0,0.01,2,3,0.5045965270684372,0.6791666666666667
72,25,15.0,0.01,3,0,0.5066394279877426,0.6791666666666667
73,25,15.0,0.01,3,1,0.501532175689479,0.6791666666666667
74,25,15.0,0.01,3,2,0.5097037793667007,0.6791666666666667
75,25,15.0,0.01,3,3,0.508682328907048,0.6791666666666667
76,25,15.0,0.01,4,0,0.5066394279877426,0.6791666666666667
77,25,15.0,0.01,4,1,0.49948927477017363,0.6791666666666667
78,25,15.0,0.01,4,2,0.5199182839632278,0.6791666666666667
79,25,15.0,0.01,4,3,0.5199182839632278,0.6791666666666667
80,25,15.0,0.1,1,0,0.5117466802860061,0.6791666666666667
