,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
64,25,15.0,0.01,1,0,0.48085758039816234,0.672077922077922
65,25,15.0,0.01,1,1,0.5084226646248086,0.672077922077922
66,25,15.0,0.01,1,2,0.4885145482388974,0.672077922077922
67,25,15.0,0.01,1,3,0.48238897396630936,0.672077922077922
68,25,15.0,0.01,2,0,0.4609494640122512,0.672077922077922
69,25,15.0,0.01,2,1,0.47013782542113325,0.672077922077922
70,25,15.0,0.01,2,2,0.4609494640122512,0.672077922077922
71,25,15.0,0.01,2,3,0.4655436447166922,0.672077922077922
72,25,15.0,0.01,3,0,0.4686064318529862,0.672077922077922
73,25,15.0,0.01,3,1,0.45176110260336905,0.672077922077922
74,25,15.0,0.01,3,2,0.45176110260336905,0.672077922077922
75,25,15.0,0.01,3,3,0.4762633996937213,0.672077922077922
76,25,15.0,0.01,4,0,0.47166921898928027,0.672077922077922
77,25,15.0,0.01,4,1,0.4686064318529862,0.672077922077922
78,25,15.0,0.01,4,2,0.4793261868300153,0.672077922077922
79,25,15.0,0.01,4,3,0.4762633996937213,0.672077922077922
80,25,15.0,0.1,1,0,0.4869831546707504,0.672077922077922
81,25,15.0,0.1,1,1,0.5022970903522205,0.672077922077922
82,25,15.0,0.1,1,2,0.4885145482388974,0.672077922077922
83,25,15.0,0.1,1,3,0.4946401225114854,0.672077922077922
84,25,15.0,0.1,2,0,0.48545176110260335,0.672077922077922
85,25,15.0,0.1,2,1,0.47013782542113325,0.672077922077922
86,25,15.0,0.1,2,2,0.48392036753445633,0.672077922077922
87,25,15.0,0.1,2,3,0.47473200612557426,0.672077922077922
88,25,15.0,0.1,3,0,0.4869831546707504,0.672077922077922
89,25,15.0,0.1,3,1,0.4655436447166922,0.672077922077922
90,25,15.0,0.1,3,2,0.4609494640122512,0.672077922077922
91,25,15.0,0.1,3,3,0.47473200612557426,0.672077922077922
92,25,15.0,0.1,4,0,0.47166921898928027,0.672077922077922
93,25,15.0,0.1,4,1,0.47166921898928027,0.672077922077922
94,25,15.0,0.1,4,2,0.4762633996937213,0.672077922077922
95,25,15.0,0.1,4,3,0.4777947932618683,0.672077922077922
96,25,15.0,0.2,1,0,0.5038284839203675,0.672077922077922
97,25,15.0,0.2,1,1,0.49157733537519144,0.672077922077922
98,25,15.0,0.2,1,2,0.49770290964777947,0.672077922077922
