,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
103,25,15.0,0.2,2,0.3,0.5229826353421859
104,25,15.0,0.2,3,0.0,0.526046986721144
105,25,15.0,0.2,3,0.1,0.5168539325842697
106,25,15.0,0.2,3,0.2,0.515832482124617
107,25,15.0,0.2,3,0.3,0.5188968335035751
108,25,15.0,0.2,4,0.0,0.48927477017364657
109,25,15.0,0.2,4,0.1,0.5097037793667007
110,25,15.0,0.2,4,0.2,0.5148110316649642
111,25,15.0,0.2,4,0.3,0.501532175689479
112,25,15.0,0.3,1,0.0,0.5025536261491318
113,25,15.0,0.3,1,0.1,0.5056179775280899
114,25,15.0,0.3,1,0.2,0.4964249233912155
115,25,15.0,0.3,1,0.3,0.5117466802860061
116,25,15.0,0.3,2,0.0,0.526046986721144
117,25,15.0,0.3,2,0.1,0.5250255362614913
118,25,15.0,0.3,2,0.2,0.5056179775280899
119,25,15.0,0.3,2,0.3,0.49846782431052095
120,25,15.0,0.3,3,0.0,0.5107252298263534
121,25,15.0,0.3,3,0.1,0.4964249233912155
122,25,15.0,0.3,3,0.2,0.5178753830439223
123,25,15.0,0.3,3,0.3,0.4923391215526047
124,25,15.0,0.3,4,0.0,0.5107252298263534
125,25,15.0,0.3,4,0.1,0.5127681307456589
126,25,15.0,0.3,4,0.2,0.5005107252298263
127,25,15.0,0.3,4,0.3,0.5188968335035751
128,25,20.0,0.01,1,0.0,0.5097037793667007
129,25,20.0,0.01,1,0.1,0.5107252298263534
130,25,20.0,0.01,1,0.2,0.501532175689479
131,25,20.0,0.01,1,0.3,0.508682328907048
132,25,20.0,0.01,2,0.0,0.4964249233912155
133,25,20.0,0.01,2,0.1,0.49846782431052095
134,25,20.0,0.01,2,0.2,0.5045965270684372
135,25,20.0,0.01,2,0.3,0.5005107252298263
136,25,20.0,0.01,3,0.0,0.4923391215526047
137,25,20.0,0.01,3,0.1,0.4933605720122574
138,25,20.0,0.01,3,0.2,0.49540347293156284
139,25,20.0,0.01,3,0.3,0.48927477017364657
140,25,20.0,0.01,4,0.0,0.5045965270684372
