,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy
0,25,10.0,0.01,1,0.0,0.5022970903522205
1,25,10.0,0.01,1,0.1,0.49770290964777947
2,25,10.0,0.01,1,0.2,0.4946401225114854
3,25,10.0,0.01,1,0.3,0.4946401225114854
4,25,10.0,0.01,2,0.0,0.5145482388973966
5,25,10.0,0.01,2,0.1,0.5267993874425727
6,25,10.0,0.01,2,0.2,0.5237366003062787
7,25,10.0,0.01,2,0.3,0.5298621745788668
8,25,10.0,0.01,3,0.0,0.5298621745788668
9,25,10.0,0.01,3,0.1,0.5298621745788668
10,25,10.0,0.01,3,0.2,0.5313935681470138
11,25,10.0,0.01,3,0.3,0.5237366003062787
12,25,10.0,0.01,4,0.0,0.5130168453292496
13,25,10.0,0.01,4,0.1,0.5114854517611026
14,25,10.0,0.01,4,0.2,0.5022970903522205
15,25,10.0,0.01,4,0.3,0.5084226646248086
16,25,10.0,0.1,1,0.0,0.5176110260336907
17,25,10.0,0.1,1,0.1,0.5298621745788668
18,25,10.0,0.1,1,0.2,0.5267993874425727
19,25,10.0,0.1,1,0.3,0.5206738131699847
20,25,10.0,0.1,2,0.0,0.5375191424196019
21,25,10.0,0.1,2,0.1,0.5329249617151608
22,25,10.0,0.1,2,0.2,0.5298621745788668
23,25,10.0,0.1,2,0.3,0.5390505359877489
24,25,10.0,0.1,3,0.0,0.5344563552833078
25,25,10.0,0.1,3,0.1,0.5283307810107197
26,25,10.0,0.1,3,0.2,0.5298621745788668
27,25,10.0,0.1,3,0.3,0.5267993874425727
28,25,10.0,0.1,4,0.0,0.5252679938744257
29,25,10.0,0.1,4,0.1,0.5130168453292496
30,25,10.0,0.1,4,0.2,0.5068912710566615
31,25,10.0,0.1,4,0.3,0.5068912710566615
32,25,10.0,0.2,1,0.0,0.5283307810107197
33,25,10.0,0.2,1,0.1,0.5038284839203675
34,25,10.0,0.2,1,0.2,0.5114854517611026
35,25,10.0,0.2,1,0.3,0.5206738131699847
36,25,10.0,0.2,2,0.0,0.5176110260336907
37,25,10.0,0.2,2,0.1,0.5252679938744257
38,25,10.0,0.2,2,0.2,0.5267993874425727
39,25,10.0,0.2,2,0.3,0.5022970903522205
40,25,10.0,0.2,3,0.0,0.5206738131699847
41,25,10.0,0.2,3,0.1,0.5222052067381318
42,25,10.0,0.2,3,0.2,0.5191424196018377
43,25,10.0,0.2,3,0.3,0.5114854517611026
44,25,10.0,0.2,4,0.0,0.5451761102603369
45,25,10.0,0.2,4,0.1,0.5099540581929556
46,25,10.0,0.2,4,0.2,0.5160796324655437
47,25,10.0,0.2,4,0.3,0.5176110260336907
48,25,10.0,0.3,1,0.0,0.5390505359877489
49,25,10.0,0.3,1,0.1,0.5298621745788668
50,25,10.0,0.3,1,0.2,0.5313935681470138
51,25,10.0,0.3,1,0.3,0.5267993874425727
52,25,10.0,0.3,2,0.0,0.5313935681470138
53,25,10.0,0.3,2,0.1,0.5329249617151608
54,25,10.0,0.3,2,0.2,0.5053598774885145
55,25,10.0,0.3,2,0.3,0.5084226646248086
56,25,10.0,0.3,3,0.0,0.5313935681470138
57,25,10.0,0.3,3,0.1,0.5405819295558959
58,25,10.0,0.3,3,0.2,0.5267993874425727
59,25,10.0,0.3,3,0.3,0.5222052067381318
60,25,10.0,0.3,4,0.0,0.5267993874425727
61,25,10.0,0.3,4,0.1,0.5329249617151608
62,25,10.0,0.3,4,0.2,0.5267993874425727
63,25,10.0,0.3,4,0.3,0.5375191424196019
64,25,15.0,0.01,1,0.0,0.5038284839203675
65,25,15.0,0.01,1,0.1,0.5068912710566615
66,25,15.0,0.01,1,0.2,0.5022970903522205
67,25,15.0,0.01,1,0.3,0.5053598774885145
68,25,15.0,0.01,2,0.0,0.5176110260336907
69,25,15.0,0.01,2,0.1,0.5206738131699847
70,25,15.0,0.01,2,0.2,0.5160796324655437
71,25,15.0,0.01,2,0.3,0.5145482388973966
