,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
43,50,10.0,3,log2,0.4843173431734317,0.5
44,50,10.0,5,sqrt,0.4875461254612546,0.5026375282592314
45,50,10.0,5,log2,0.492619926199262,0.5065217391304347
46,50,10.0,10,sqrt,0.49400369003690037,0.507473309608541
47,50,10.0,10,log2,0.48616236162361626,0.5014992503748126
48,50,10.0,50,sqrt,0.4893911439114391,0.504089219330855
49,50,10.0,50,log2,0.49953874538745385,0.5120350109409191
50,50,15.0,2,sqrt,0.4912361623616236,0.5057471264367817
51,50,15.0,2,log2,0.4843173431734317,0.5
52,50,15.0,3,sqrt,0.5004612546125461,0.513389441469013
53,50,15.0,3,log2,0.5041512915129152,0.5167315175097277
54,50,15.0,5,sqrt,0.49308118081180813,0.5073245952197378
55,50,15.0,5,log2,0.49169741697416974,0.5063191153238547
56,50,15.0,10,sqrt,0.4935424354243542,0.5078864353312302
57,50,15.0,10,log2,0.47509225092250923,0.49168053244592347
58,50,15.0,50,sqrt,0.48662361623616235,0.5018395879323032
59,50,15.0,50,log2,0.49584870848708484,0.5097276264591439
60,50,20.0,2,sqrt,0.4981549815498155,0.5120385232744783
61,50,20.0,2,log2,0.48985239852398527,0.5051813471502591
62,50,20.0,3,sqrt,0.4935424354243542,0.5083056478405316
63,50,20.0,3,log2,0.5009225092250923,0.5154373927958834
64,50,20.0,5,sqrt,0.4806273062730627,0.4967585089141005
65,50,20.0,5,log2,0.4907749077490775,0.5056634304207119
66,50,20.0,10,sqrt,0.4893911439114391,0.5042868277474669
67,50,20.0,10,log2,0.4820110701107011,0.49801113762927607
68,50,20.0,50,sqrt,0.49723247232472323,0.5102941176470588
69,50,20.0,50,log2,0.503690036900369,0.5166931637519873
70,50,,2,sqrt,0.496309963099631,0.5106382978723404
71,50,,2,log2,0.4893911439114391,0.5045643153526971
72,50,,3,sqrt,0.4870848708487085,0.5024793388429752
73,50,,3,log2,0.49308118081180813,0.5075939248601119
74,50,,5,sqrt,0.496309963099631,0.510655737704918
75,50,,5,log2,0.48293357933579334,0.49872773536895676
76,50,,10,sqrt,0.49169741697416974,0.5065040650406504
77,50,,10,log2,0.49308118081180813,0.5084594835262689
78,50,,50,sqrt,0.5032287822878229,0.5158546017014695
79,50,,50,log2,0.4912361623616236,0.5053840631730079
80,100,10.0,2,sqrt,0.4843173431734317,0.5
81,100,10.0,2,log2,0.49538745387453875,0.5086330935251798
82,100,10.0,3,sqrt,0.5041512915129152,0.5154121863799284
83,100,10.0,3,log2,0.4976937269372694,0.5106853352984525
84,100,10.0,5,sqrt,0.5013837638376384,0.5130007027406887
85,100,10.0,5,log2,0.4949261992619926,0.5081850533807829
86,100,10.0,10,sqrt,0.4801660516605166,0.4968017057569296
87,100,10.0,10,log2,0.48662361623616235,0.5018208302986161
88,100,10.0,50,sqrt,0.488929889298893,0.5034578146611342
89,100,10.0,50,log2,0.49538745387453875,0.5088757396449705
90,100,15.0,2,sqrt,0.5055350553505535,0.5184887459807074
91,100,15.0,2,log2,0.496309963099631,0.510551948051948
92,100,15.0,3,sqrt,0.5027675276752768,0.5166112956810631
93,100,15.0,3,log2,0.4944649446494465,0.508500772797527
94,100,15.0,5,sqrt,0.4857011070110701,0.5011476664116297
95,100,15.0,5,log2,0.5,0.5134069400630915
96,100,15.0,10,sqrt,0.47739852398523985,0.4939467312348668
97,100,15.0,10,log2,0.5004612546125461,0.5138999205718825
98,100,15.0,50,sqrt,0.48800738007380073,0.5030864197530864
99,100,15.0,50,log2,0.48800738007380073,0.5031104199066874
100,100,20.0,2,sqrt,0.49400369003690037,0.5083665338645418
101,100,20.0,2,log2,0.49031365313653136,0.5056570931244561
102,100,20.0,3,sqrt,0.5087638376383764,0.520431765612953
103,100,20.0,3,log2,0.4884686346863469,0.5038494439692045
104,100,20.0,5,sqrt,0.4921586715867159,0.5071729957805907
105,100,20.0,5,log2,0.4893911439114391,0.5044824775876121
106,100,20.0,10,sqrt,0.48108856088560886,0.49714285714285716
107,100,20.0,10,log2,0.48616236162361626,0.5016666666666667
108,100,20.0,50,sqrt,0.4944649446494465,0.5081360946745562
109,100,20.0,50,log2,0.48477859778597787,0.5004088307440719
110,100,,2,sqrt,0.4949261992619926,0.5095277547638773
111,100,,2,log2,0.48800738007380073,0.503338898163606
112,100,,3,sqrt,0.5041512915129152,0.5163747143945163
113,100,,3,log2,0.49400369003690037,0.5086848635235732
114,100,,5,sqrt,0.4893911439114391,0.5042081101759756
115,100,,5,log2,0.49400369003690037,0.5089361702127659
116,100,,10,sqrt,0.4944649446494465,0.5089869281045751
117,100,,10,log2,0.4921586715867159,0.5068273092369477
118,100,,50,sqrt,0.48477859778597787,0.5004074979625102
119,100,,50,log2,0.47878228782287824,0.4954128440366973
120,150,10.0,2,sqrt,0.49400369003690037,0.507410021171489
121,150,10.0,2,log2,0.49400369003690037,0.5076810534016094
122,150,10.0,3,sqrt,0.4912361623616236,0.5054387237128354
123,150,10.0,3,log2,0.4986162361623616,0.5111591072714183
124,150,10.0,5,sqrt,0.4921586715867159,0.5059068797776234
125,150,10.0,5,log2,0.4921586715867159,0.5061460592913956
126,150,10.0,10,sqrt,0.4976937269372694,0.5105454545454545
127,150,10.0,10,log2,0.4806273062730627,0.49708029197080295
128,150,10.0,50,sqrt,0.4986162361623616,0.51092318534179
129,150,10.0,50,log2,0.4981549815498155,0.5112781954887218
130,150,15.0,2,sqrt,0.5050738007380073,0.5170842824601367
131,150,15.0,2,log2,0.49400369003690037,0.5080956052428681
132,150,15.0,3,sqrt,0.49538745387453875,0.509090909090909
133,150,15.0,3,log2,0.49169741697416974,0.5062893081761006
134,150,15.0,5,sqrt,0.496309963099631,0.5099693251533742
135,150,15.0,5,log2,0.48800738007380073,0.5033003300330033
136,150,15.0,10,sqrt,0.48616236162361626,0.5016260162601626
137,150,15.0,10,log2,0.49308118081180813,0.5077047850770479
138,150,15.0,50,sqrt,0.4801660516605166,0.49663425579655945
139,150,15.0,50,log2,0.49031365313653136,0.5048112509252406
140,150,20.0,2,sqrt,0.49538745387453875,0.5095087163232963
141,150,20.0,2,log2,0.49677121771217714,0.511240632805995
142,150,20.0,3,sqrt,0.4893911439114391,0.5044319097502015
143,150,20.0,3,log2,0.4907749077490775,0.5058333333333334
144,150,20.0,5,sqrt,0.4976937269372694,0.5115722266560255
145,150,20.0,5,log2,0.4944649446494465,0.5088141025641025
146,150,20.0,10,sqrt,0.4870848708487085,0.5025210084033613
147,150,20.0,10,log2,0.4986162361623616,0.5136804942630185
148,150,20.0,50,sqrt,0.492619926199262,0.5065312046444121
149,150,20.0,50,log2,0.4806273062730627,0.4969650986342944
150,150,,2,sqrt,0.492619926199262,0.507177033492823
151,150,,2,log2,0.48616236162361626,0.5016806722689076
152,150,,3,sqrt,0.49169741697416974,0.506201550387597
153,150,,3,log2,0.5046125461254612,0.518425460636516
154,150,,5,sqrt,0.5087638376383764,0.5222876366694701
155,150,,5,log2,0.5046125461254612,0.5181219110378913
156,150,,10,sqrt,0.49907749077490776,0.5137457044673539
157,150,,10,log2,0.4884686346863469,0.503784693019344
158,150,,50,sqrt,0.4884686346863469,0.5034272658035034
159,150,,50,log2,0.4893911439114391,0.5042145593869731
160,200,10.0,2,sqrt,0.4944649446494465,0.5077574047954866
161,200,10.0,2,log2,0.49169741697416974,0.505738880918221
162,200,10.0,3,sqrt,0.49677121771217714,0.5093555093555093
163,200,10.0,3,log2,0.496309963099631,0.5093795093795094
164,200,10.0,5,sqrt,0.492619926199262,0.5064011379800853
165,200,10.0,5,log2,0.4949261992619926,0.507969507969508
166,200,10.0,10,sqrt,0.4875461254612546,0.5025603511338698
167,200,10.0,10,log2,0.48985239852398527,0.5043795620437956
168,200,10.0,50,sqrt,0.49308118081180813,0.5068394528437725
169,200,10.0,50,log2,0.48662361623616235,0.5017229496898691
170,200,15.0,2,sqrt,0.48662361623616235,0.5018982536066818
171,200,15.0,2,log2,0.48616236162361626,0.5016420361247947
172,200,15.0,3,sqrt,0.49584870848708484,0.5093353248693054
173,200,15.0,3,log2,0.49308118081180813,0.5072353389185073
174,200,15.0,5,sqrt,0.49723247232472323,0.5110935023771791
175,200,15.0,5,log2,0.4921586715867159,0.5067087608524072
176,200,15.0,10,sqrt,0.4857011070110701,0.501206757843926
177,200,15.0,10,log2,0.48477859778597787,0.5004088307440719
178,200,15.0,50,sqrt,0.49723247232472323,0.5101892285298398
179,200,15.0,50,log2,0.4907749077490775,0.5052395209580839
180,200,20.0,2,sqrt,0.5,0.5136436597110754
181,200,20.0,2,log2,0.4949261992619926,0.5098543273350471
182,200,20.0,3,sqrt,0.49584870848708484,0.5100563153660499
183,200,20.0,3,log2,0.4875461254612546,0.5029190992493745
184,200,20.0,5,sqrt,0.49907749077490776,0.5133779264214047
185,200,20.0,5,log2,0.4949261992619926,0.5095594347464671
186,200,20.0,10,sqrt,0.4893911439114391,0.5043341213553979
187,200,20.0,10,log2,0.5009225092250923,0.5160714285714286
188,200,20.0,50,sqrt,0.5078413284132841,0.517945109078114
189,200,20.0,50,log2,0.49400369003690037,0.5080583269378358
190,200,,2,sqrt,0.48800738007380073,0.5033840947546532
191,200,,2,log2,0.5,0.5143824027072758
192,200,,3,sqrt,0.496309963099631,0.5103338632750397
193,200,,3,log2,0.4944649446494465,0.5090016366612111
194,200,,5,sqrt,0.4875461254612546,0.5030728709394205
195,200,,5,log2,0.4976937269372694,0.51209341117598
196,200,,10,sqrt,0.5,0.5142378559463987
197,200,,10,log2,0.488929889298893,0.5042444821731749
198,200,,50,sqrt,0.4976937269372694,0.5106539309331374
199,200,,50,log2,0.5023062730627307,0.5142024763292061
