,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
0,25,10.0,2,sqrt,0.5032287822878229,0.5149090909090909
1,25,10.0,2,log2,0.4921586715867159,0.5064836003051106
2,25,10.0,3,sqrt,0.4949261992619926,0.5083032490974729
3,25,10.0,3,log2,0.48293357933579334,0.4989444053483462
4,25,10.0,5,sqrt,0.492619926199262,0.5069337442218799
5,25,10.0,5,log2,0.4912361623616236,0.505338078291815
6,25,10.0,10,sqrt,0.48108856088560886,0.4974016332590943
7,25,10.0,10,log2,0.48662361623616235,0.5017494751574527
8,25,10.0,50,sqrt,0.4769372693726937,0.49417758369723436
9,25,10.0,50,log2,0.49308118081180813,0.5076060848678943
10,25,15.0,2,sqrt,0.474169741697417,0.49048442906574397
11,25,15.0,2,log2,0.5009225092250923,0.5139968895800933
12,25,15.0,3,sqrt,0.4843173431734317,0.5
13,25,15.0,3,log2,0.4921586715867159,0.5072094995759118
14,25,15.0,5,sqrt,0.4893911439114391,0.504424778761062
15,25,15.0,5,log2,0.5059963099630996,0.5189363416599516
16,25,15.0,10,sqrt,0.49031365313653136,0.5048471290082028
17,25,15.0,10,log2,0.4912361623616236,0.5062552126772311
18,25,15.0,50,sqrt,0.5013837638376384,0.5133574007220216
19,25,15.0,50,log2,0.48108856088560886,0.49724192277383766
20,25,20.0,2,sqrt,0.4875461254612546,0.5027977617905676
21,25,20.0,2,log2,0.49308118081180813,0.50767987065481
22,25,20.0,3,sqrt,0.4857011070110701,0.5013428827215757
23,25,20.0,3,log2,0.5004612546125461,0.5147182506307821
24,25,20.0,5,sqrt,0.4921586715867159,0.5074758135444152
25,25,20.0,5,log2,0.48800738007380073,0.5032894736842105
26,25,20.0,10,sqrt,0.4857011070110701,0.5012919896640827
27,25,20.0,10,log2,0.4912361623616236,0.5060435132957293
28,25,20.0,50,sqrt,0.49677121771217714,0.5105222135619641
29,25,20.0,50,log2,0.511070110701107,0.5210144927536232
30,25,,2,sqrt,0.4820110701107011,0.49786142001710865
31,25,,2,log2,0.48247232472324725,0.49830508474576274
32,25,,3,sqrt,0.4944649446494465,0.5086477987421384
33,25,,3,log2,0.4884686346863469,0.5037974683544304
34,25,,5,sqrt,0.49031365313653136,0.5056472632493484
35,25,,5,log2,0.5018450184501845,0.5159663865546219
36,25,,10,sqrt,0.5023062730627307,0.5170305676855895
37,25,,10,log2,0.48662361623616235,0.5021312872975278
38,25,,50,sqrt,0.4884686346863469,0.5034220532319391
39,25,,50,log2,0.4921586715867159,0.5064442759666414
40,50,10.0,2,sqrt,0.4949261992619926,0.5083636363636364
41,50,10.0,2,log2,0.5004612546125461,0.5124555160142349
42,50,10.0,3,sqrt,0.5009225092250923,0.5135746606334841
43,50,10.0,3,log2,0.5032287822878229,0.5144264602392681
44,50,10.0,5,sqrt,0.48293357933579334,0.4989458889669712
45,50,10.0,5,log2,0.49308118081180813,0.5067232837933475
46,50,10.0,10,sqrt,0.4912361623616236,0.5055762081784386
47,50,10.0,10,log2,0.4801660516605166,0.4967225054624909
48,50,10.0,50,sqrt,0.492619926199262,0.5060728744939271
49,50,10.0,50,log2,0.4820110701107011,0.4981495188749075
50,50,15.0,2,sqrt,0.5064575645756457,0.5188087774294671
51,50,15.0,2,log2,0.4976937269372694,0.5113016367887763
52,50,15.0,3,sqrt,0.49907749077490776,0.5126382306477093
53,50,15.0,3,log2,0.4944649446494465,0.5085271317829457
