,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
0,25,10.0,2,sqrt,0.4833948339483395,0.49925705794947994
1,25,10.0,2,log2,0.48523985239852396,0.5007173601147776
2,25,10.0,2,,0.4833948339483395,0.49921259842519683
3,25,10.0,3,sqrt,0.49907749077490776,0.5119581464872944
4,25,10.0,3,log2,0.5055350553505535,0.5173453996983409
5,25,10.0,3,,0.4893911439114391,0.5041446872645065
6,25,10.0,5,sqrt,0.48154981549815495,0.4978386167146974
7,25,10.0,5,log2,0.4884686346863469,0.5035405192761605
8,25,10.0,5,,0.49723247232472323,0.510989010989011
9,25,10.0,10,sqrt,0.4921586715867159,0.5064345193035579
10,25,10.0,10,log2,0.48523985239852396,0.5008291873963516
11,25,10.0,10,,0.5018450184501845,0.5129781420765027
12,25,10.0,50,sqrt,0.49907749077490776,0.5108695652173914
13,25,10.0,50,log2,0.48154981549815495,0.49771341463414637
14,25,10.0,50,,0.4893911439114391,0.5041509433962265
15,25,15.0,2,sqrt,0.49723247232472323,0.5108864696734059
16,25,15.0,2,log2,0.4806273062730627,0.4966996699669967
17,25,15.0,2,,0.4746309963099631,0.49081364829396323
18,25,15.0,3,sqrt,0.49400369003690037,0.5080583269378358
19,25,15.0,3,log2,0.49584870848708484,0.5097580015612803
20,25,15.0,3,,0.4875461254612546,0.5029686174724343
21,25,15.0,5,sqrt,0.49953874538745385,0.5137385512073273
22,25,15.0,5,log2,0.48800738007380073,0.5034965034965035
23,25,15.0,5,,0.48985239852398527,0.5052264808362369
24,25,15.0,10,sqrt,0.4806273062730627,0.49693251533742333
25,25,15.0,10,log2,0.5023062730627307,0.515713134568896
26,25,15.0,10,,0.4981549815498155,0.5118483412322274
27,25,15.0,50,sqrt,0.4921586715867159,0.5067087608524072
28,25,15.0,50,log2,0.49677121771217714,0.5110384300899428
29,25,15.0,50,,0.48800738007380073,0.5033557046979866
30,25,20.0,2,sqrt,0.4921586715867159,0.5065942591155935
31,25,20.0,2,log2,0.5059963099630996,0.5193097781429745
32,25,20.0,2,,0.48662361623616235,0.5021607605877269
33,25,20.0,3,sqrt,0.4976937269372694,0.5113369820172009
34,25,20.0,3,log2,0.488929889298893,0.5042444821731749
35,25,20.0,3,,0.4875461254612546,0.5031390134529148
36,25,20.0,5,sqrt,0.496309963099631,0.5107084019769358
37,25,20.0,5,log2,0.5032287822878229,0.5156847742922723
38,25,20.0,5,,0.49308118081180813,0.5074744295830055
39,25,20.0,10,sqrt,0.4884686346863469,0.503862660944206
40,25,20.0,10,log2,0.48523985239852396,0.5009009009009009
41,25,20.0,10,,0.4921586715867159,0.5081652257444764
42,25,20.0,50,sqrt,0.4986162361623616,0.5114560236511456
43,25,20.0,50,log2,0.4935424354243542,0.5075642965204236
44,25,20.0,50,,0.49677121771217714,0.512306289881495
45,25,,2,sqrt,0.4875461254612546,0.5028665028665029
46,25,,2,log2,0.49907749077490776,0.5138648180242634
47,25,,2,,0.488929889298893,0.5042444821731749
48,25,,3,sqrt,0.48385608856088563,0.4995633187772926
49,25,,3,log2,0.492619926199262,0.507679180887372
50,25,,3,,0.5009225092250923,0.5173076923076924
51,25,,5,sqrt,0.4884686346863469,0.503862660944206
52,25,,5,log2,0.48662361623616235,0.502210433244916
53,25,,5,,0.4875461254612546,0.5032021957913998
54,25,,10,sqrt,0.5009225092250923,0.5161870503597122
55,25,,10,log2,0.48662361623616235,0.5020610057708161
56,25,,10,,0.49538745387453875,0.5106194690265486
57,25,,50,sqrt,0.48523985239852396,0.5008077544426495
58,25,,50,log2,0.49953874538745385,0.5114345114345115
59,25,,50,,0.5027675276752768,0.5143472022955524
60,50,10.0,2,sqrt,0.4981549815498155,0.5106534090909091
61,50,10.0,2,log2,0.5023062730627307,0.5141818181818182
62,50,10.0,2,,0.49400369003690037,0.5077605321507761
63,50,10.0,3,sqrt,0.48800738007380073,0.502962962962963
64,50,10.0,3,log2,0.4907749077490775,0.5049786628733998
65,50,10.0,3,,0.49584870848708484,0.5093632958801498
66,50,10.0,5,sqrt,0.48662361623616235,0.5020308692120228
67,50,10.0,5,log2,0.4944649446494465,0.5082212257100149
68,50,10.0,5,,0.48523985239852396,0.500748502994012
69,50,10.0,10,sqrt,0.49538745387453875,0.5082872928176796
70,50,10.0,10,log2,0.49584870848708484,0.5096824167312161
71,50,10.0,10,,0.4976937269372694,0.5105916727538349
72,50,10.0,50,sqrt,0.4935424354243542,0.5068775790921596
73,50,10.0,50,log2,0.49031365313653136,0.5046528274874732
74,50,10.0,50,,0.4893911439114391,0.5037697052775874
75,50,15.0,2,sqrt,0.49400369003690037,0.5078888054094666
76,50,15.0,2,log2,0.4833948339483395,0.49915824915824913
77,50,15.0,2,,0.4949261992619926,0.5092966855295069
78,50,15.0,3,sqrt,0.4893911439114391,0.504424778761062
79,50,15.0,3,log2,0.4949261992619926,0.5097375105842507
80,50,15.0,3,,0.49677121771217714,0.5108958837772397
81,50,15.0,5,sqrt,0.49584870848708484,0.5097885669537979
82,50,15.0,5,log2,0.49308118081180813,0.5075456711675933
83,50,15.0,5,,0.4843173431734317,0.5
84,50,15.0,10,sqrt,0.4801660516605166,0.49634443541835904
85,50,15.0,10,log2,0.4981549815498155,0.5121555915721232
86,50,15.0,10,,0.492619926199262,0.5073170731707317
87,50,15.0,50,sqrt,0.48616236162361626,0.5014705882352941
88,50,15.0,50,log2,0.49400369003690037,0.507783543365456
89,50,15.0,50,,0.48477859778597787,0.5003866976024749
90,50,20.0,2,sqrt,0.49677121771217714,0.5109666937449229
91,50,20.0,2,log2,0.492619926199262,0.5072347266881029
92,50,20.0,2,,0.49169741697416974,0.5061728395061729
93,50,20.0,3,sqrt,0.49907749077490776,0.5125
94,50,20.0,3,log2,0.4935424354243542,0.5081566068515497
95,50,20.0,3,,0.492619926199262,0.5074503311258278
96,50,20.0,5,sqrt,0.4986162361623616,0.5124099279423538
97,50,20.0,5,log2,0.4944649446494465,0.5088996763754046
98,50,20.0,5,,0.48385608856088563,0.49959382615759546
99,50,20.0,10,sqrt,0.4935424354243542,0.5080775444264943
100,50,20.0,10,log2,0.5064575645756457,0.5190779014308426
101,50,20.0,10,,0.4893911439114391,0.50471293916024
102,50,20.0,50,sqrt,0.5009225092250923,0.5133136094674556
103,50,20.0,50,log2,0.4833948339483395,0.49924924924924924
104,50,20.0,50,,0.488929889298893,0.5039246467817896
105,50,,2,sqrt,0.496309963099631,0.5106382978723404
106,50,,2,log2,0.5013837638376384,0.517113783533765
107,50,,2,,0.4797047970479705,0.4954954954954955
108,50,,3,sqrt,0.4833948339483395,0.49917898193760263
109,50,,3,log2,0.49677121771217714,0.5115483319076134
110,50,,3,,0.4820110701107011,0.49784668389319553
111,50,,5,sqrt,0.4921586715867159,0.5069843878389483
112,50,,5,log2,0.48616236162361626,0.5016393442622951
113,50,,5,,0.4944649446494465,0.5095652173913043
114,50,,10,sqrt,0.4870848708487085,0.502435064935065
115,50,,10,log2,0.49031365313653136,0.5056179775280899
116,50,,10,,0.49677121771217714,0.5117085862966175
117,50,,50,sqrt,0.49723247232472323,0.5101156069364162
118,50,,50,log2,0.4935424354243542,0.5073746312684366
119,50,,50,,0.496309963099631,0.5103011093502378
120,100,10.0,2,sqrt,0.4981549815498155,0.510548523206751
121,100,10.0,2,log2,0.49723247232472323,0.5098591549295775
122,100,10.0,2,,0.4935424354243542,0.5073637702503682
123,100,10.0,3,sqrt,0.49169741697416974,0.5059523809523809
124,100,10.0,3,log2,0.4907749077490775,0.5051395007342144
125,100,10.0,3,,0.4884686346863469,0.5033112582781457
126,100,10.0,5,sqrt,0.48985239852398527,0.50431654676259
127,100,10.0,5,log2,0.48616236162361626,0.5015337423312883
128,100,10.0,5,,0.4893911439114391,0.504083147735709
129,100,10.0,10,sqrt,0.4921586715867159,0.5061728395061729
130,100,10.0,10,log2,0.49031365313653136,0.5044982698961937
131,100,10.0,10,,0.488929889298893,0.5040128410914928
132,100,10.0,50,sqrt,0.5,0.5123367198838897
133,100,10.0,50,log2,0.4986162361623616,0.5102717031146454
134,100,10.0,50,,0.496309963099631,0.5092724679029957
135,100,15.0,2,sqrt,0.49169741697416974,0.506482982171799
136,100,15.0,2,log2,0.48662361623616235,0.5020275750202757
137,100,15.0,2,,0.4893911439114391,0.5046102263202011
138,100,15.0,3,sqrt,0.49400369003690037,0.5082612116443745
139,100,15.0,3,log2,0.48154981549815495,0.49764150943396224
140,100,15.0,3,,0.4893911439114391,0.5044390637610977
141,100,15.0,5,sqrt,0.4907749077490775,0.5055467511885895
142,100,15.0,5,log2,0.492619926199262,0.5072697899838449
143,100,15.0,5,,0.49907749077490776,0.5122887864823349
144,100,15.0,10,sqrt,0.4893911439114391,0.504594820384294
145,100,15.0,10,log2,0.49677121771217714,0.5111847555923777
146,100,15.0,10,,0.48293357933579334,0.49874266554903607
147,100,15.0,50,sqrt,0.49031365313653136,0.504950495049505
148,100,15.0,50,log2,0.4907749077490775,0.5054263565891473
149,100,15.0,50,,0.4843173431734317,0.5
150,100,20.0,2,sqrt,0.5041512915129152,0.5180520570948782
151,100,20.0,2,log2,0.5018450184501845,0.5158597662771286
152,100,20.0,2,,0.49031365313653136,0.5057167985927881
153,100,20.0,3,sqrt,0.48616236162361626,0.501577287066246
154,100,20.0,3,log2,0.4944649446494465,0.508957654723127
155,100,20.0,3,,0.4976937269372694,0.512154233025985
156,100,20.0,5,sqrt,0.5,0.5134493670886076
157,100,20.0,5,log2,0.4912361623616236,0.5062866722548198
158,100,20.0,5,,0.4893911439114391,0.504828797190518
159,100,20.0,10,sqrt,0.48616236162361626,0.5015822784810127
160,100,20.0,10,log2,0.49400369003690037,0.5083532219570406
161,100,20.0,10,,0.492619926199262,0.5075125208681135
162,100,20.0,50,sqrt,0.48985239852398527,0.5043988269794721
163,100,20.0,50,log2,0.48293357933579334,0.4988593155893536
164,100,20.0,50,,0.49400369003690037,0.5081712062256809
165,100,,2,sqrt,0.492619926199262,0.507223113964687
166,100,,2,log2,0.48523985239852396,0.5008741258741258
167,100,,2,,0.4907749077490775,0.5063752276867031
168,100,,3,sqrt,0.4981549815498155,0.5123762376237624
169,100,,3,log2,0.48108856088560886,0.49682107175295187
170,100,,3,,0.47924354243542433,0.4951627088830255
171,100,,5,sqrt,0.47924354243542433,0.494967978042086
172,100,,5,log2,0.48108856088560886,0.4970906068162926
173,100,,5,,0.48985239852398527,0.505338078291815
174,100,,10,sqrt,0.49169741697416974,0.5069565217391304
175,100,,10,log2,0.49031365313653136,0.5054945054945055
176,100,,10,,0.48616236162361626,0.5017482517482518
177,100,,50,sqrt,0.48800738007380073,0.5031104199066874
178,100,,50,log2,0.4801660516605166,0.49653045489591363
179,100,,50,,0.4944649446494465,0.5079136690647482
180,150,10.0,2,sqrt,0.4907749077490775,0.5049435028248588
181,150,10.0,2,log2,0.49031365313653136,0.5046863734679163
182,150,10.0,2,,0.4893911439114391,0.5042016806722689
183,150,10.0,3,sqrt,0.4893911439114391,0.5037800687285223
184,150,10.0,3,log2,0.48985239852398527,0.5045317220543807
185,150,10.0,3,,0.5027675276752768,0.5144927536231884
186,150,10.0,5,sqrt,0.4986162361623616,0.5113886847905952
187,150,10.0,5,log2,0.4944649446494465,0.5080527086383602
188,150,10.0,5,,0.492619926199262,0.5069337442218799
189,150,10.0,10,sqrt,0.49308118081180813,0.5070737155621743
190,150,10.0,10,log2,0.4907749077490775,0.5051470588235294
191,150,10.0,10,,0.5013837638376384,0.5135332845647403
192,150,10.0,50,sqrt,0.4843173431734317,0.5
193,150,10.0,50,log2,0.49677121771217714,0.5098901098901099
194,150,10.0,50,,0.4893911439114391,0.5040234089246525
195,150,15.0,2,sqrt,0.4912361623616236,0.5057121096725057
196,150,15.0,2,log2,0.4944649446494465,0.5087301587301587
197,150,15.0,2,,0.4981549815498155,0.5120967741935484
198,150,15.0,3,sqrt,0.49584870848708484,0.5097125097125097
