,n_estimators,max_depth,min_samples_split,max_features,accuracy
142,150,20.0,3,sqrt,0.5036764705882353
143,150,20.0,3,log2,0.5196078431372549
144,150,20.0,5,sqrt,0.49019607843137253
145,150,20.0,5,log2,0.5147058823529411
146,150,20.0,10,sqrt,0.508578431372549
147,150,20.0,10,log2,0.508578431372549
148,150,20.0,50,sqrt,0.4950980392156863
149,150,20.0,50,log2,0.49754901960784315
150,150,,2,sqrt,0.49387254901960786
151,150,,2,log2,0.5024509803921569
152,150,,3,sqrt,0.5110294117647058
153,150,,3,log2,0.508578431372549
154,150,,5,sqrt,0.5257352941176471
155,150,,5,log2,0.4987745098039216
156,150,,10,sqrt,0.5134803921568627
157,150,,10,log2,0.5024509803921569
158,150,,50,sqrt,0.49387254901960786
159,150,,50,log2,0.5
160,200,10.0,2,sqrt,0.5073529411764706
161,200,10.0,2,log2,0.5061274509803921
162,200,10.0,3,sqrt,0.5061274509803921
163,200,10.0,3,log2,0.5208333333333334
164,200,10.0,5,sqrt,0.4950980392156863
165,200,10.0,5,log2,0.5147058823529411
166,200,10.0,10,sqrt,0.4950980392156863
167,200,10.0,10,log2,0.5061274509803921
168,200,10.0,50,sqrt,0.4840686274509804
169,200,10.0,50,log2,0.49754901960784315
170,200,15.0,2,sqrt,0.5122549019607843
171,200,15.0,2,log2,0.508578431372549
172,200,15.0,3,sqrt,0.5073529411764706
173,200,15.0,3,log2,0.5098039215686274
174,200,15.0,5,sqrt,0.5196078431372549
175,200,15.0,5,log2,0.5073529411764706
176,200,15.0,10,sqrt,0.5
177,200,15.0,10,log2,0.5061274509803921
178,200,15.0,50,sqrt,0.48161764705882354
179,200,15.0,50,log2,0.4987745098039216
180,200,20.0,2,sqrt,0.5220588235294118
181,200,20.0,2,log2,0.5012254901960784
182,200,20.0,3,sqrt,0.5061274509803921
183,200,20.0,3,log2,0.5073529411764706
184,200,20.0,5,sqrt,0.5061274509803921
185,200,20.0,5,log2,0.5110294117647058
186,200,20.0,10,sqrt,0.5269607843137255
187,200,20.0,10,log2,0.5183823529411765
188,200,20.0,50,sqrt,0.5134803921568627
189,200,20.0,50,log2,0.5134803921568627
190,200,,2,sqrt,0.5098039215686274
191,200,,2,log2,0.5098039215686274
192,200,,3,sqrt,0.5196078431372549
193,200,,3,log2,0.5134803921568627
194,200,,5,sqrt,0.508578431372549
195,200,,5,log2,0.5110294117647058
196,200,,10,sqrt,0.5196078431372549
197,200,,10,log2,0.5171568627450981
198,200,,50,sqrt,0.5049019607843137
199,200,,50,log2,0.4877450980392157
