,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.4671890303623898
1,25,10.0,2,log2,0.4694743715311786
2,25,10.0,2,,0.5001632386549135
3,25,10.0,3,sqrt,0.46620959843290893
4,25,10.0,3,log2,0.4675155076722168
5,25,10.0,3,,0.5004897159647405
6,25,10.0,5,sqrt,0.4720861900097943
7,25,10.0,5,log2,0.47045380346065946
8,25,10.0,5,,0.505713352921972
9,25,10.0,10,sqrt,0.4701273261508325
10,25,10.0,10,log2,0.4733920992491022
11,25,10.0,10,,0.5034280117531832
12,25,10.0,50,sqrt,0.4691478942213516
13,25,10.0,50,log2,0.4691478942213516
14,25,10.0,50,,0.46980084884100554
15,25,15.0,2,sqrt,0.4730656219392752
16,25,15.0,2,log2,0.46784198498204377
17,25,15.0,2,,0.4688214169115246
18,25,15.0,3,sqrt,0.4688214169115246
19,25,15.0,3,log2,0.47110675808031344
20,25,15.0,3,,0.5017956252040483
21,25,15.0,5,sqrt,0.4694743715311786
22,25,15.0,5,log2,0.46784198498204377
23,25,15.0,5,,0.49951028403525954
24,25,15.0,10,sqrt,0.47110675808031344
25,25,15.0,10,log2,0.49036891936010446
26,25,15.0,10,,0.47045380346065946
27,25,15.0,50,sqrt,0.47110675808031344
28,25,15.0,50,log2,0.4720861900097943
29,25,15.0,50,,0.4701273261508325
30,25,20.0,2,sqrt,0.4684949396016977
31,25,20.0,2,log2,0.4688214169115246
32,25,20.0,2,,0.465230166503428
33,25,20.0,3,sqrt,0.46620959843290893
34,25,20.0,3,log2,0.46784198498204377
35,25,20.0,3,,0.5102840352595495
36,25,20.0,5,sqrt,0.47045380346065946
37,25,20.0,5,log2,0.5004897159647405
38,25,20.0,5,,0.5044074436826641
39,25,20.0,10,sqrt,0.4694743715311786
40,25,20.0,10,log2,0.4929807378387202
41,25,20.0,10,,0.49983676134508653
42,25,20.0,50,sqrt,0.47143323539014037
43,25,20.0,50,log2,0.47045380346065946
44,25,20.0,50,,0.47045380346065946
45,25,,2,sqrt,0.46784198498204377
46,25,,2,log2,0.4701273261508325
47,25,,2,,0.47273914462944827
48,25,,3,sqrt,0.4724126673196213
49,25,,3,log2,0.505713352921972
50,25,,3,,0.47110675808031344
51,25,,5,sqrt,0.47078028077048645
52,25,,5,log2,0.4681684622918707
53,25,,5,,0.4776363042768528
54,25,,10,sqrt,0.4763303950375449
55,25,,10,log2,0.4691478942213516
56,25,,10,,0.5024485798237023
57,25,,50,sqrt,0.4691478942213516
58,25,,50,log2,0.4743715311785831
59,25,,50,,0.46980084884100554
60,50,10.0,2,sqrt,0.4671890303623898
61,50,10.0,2,log2,0.46686255305256286
62,50,10.0,2,,0.5014691478942214
63,50,10.0,3,sqrt,0.46784198498204377
64,50,10.0,3,log2,0.46784198498204377
65,50,10.0,3,,0.4720861900097943
66,50,10.0,5,sqrt,0.47078028077048645
67,50,10.0,5,log2,0.4720861900097943
68,50,10.0,5,,0.5017956252040483
69,50,10.0,10,sqrt,0.47078028077048645
70,50,10.0,10,log2,0.47110675808031344
71,50,10.0,10,,0.5119164218086842
72,50,10.0,50,sqrt,0.47078028077048645
73,50,10.0,50,log2,0.4694743715311786
74,50,10.0,50,,0.46653607574273587
75,50,15.0,2,sqrt,0.47045380346065946
76,50,15.0,2,log2,0.4701273261508325
77,50,15.0,2,,0.49918380672543256
78,50,15.0,3,sqrt,0.4701273261508325
79,50,15.0,3,log2,0.47143323539014037
80,50,15.0,3,,0.5037544890630101
81,50,15.0,5,sqrt,0.46620959843290893
82,50,15.0,5,log2,0.4694743715311786
