,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5097037793667007
1,25,10.0,2,log2,0.5485188968335035
2,25,10.0,3,sqrt,0.5035750766087844
3,25,10.0,3,log2,0.5117466802860061
4,25,10.0,5,sqrt,0.5229826353421859
5,25,10.0,5,log2,0.515832482124617
6,25,10.0,10,sqrt,0.5199182839632278
7,25,10.0,10,log2,0.5209397344228804
8,25,10.0,50,sqrt,0.5005107252298263
9,25,10.0,50,log2,0.5005107252298263
10,25,15.0,2,sqrt,0.5168539325842697
11,25,15.0,2,log2,0.4974463738508682
12,25,15.0,3,sqrt,0.5148110316649642
13,25,15.0,3,log2,0.5137895812053116
14,25,15.0,5,sqrt,0.5117466802860061
15,25,15.0,5,log2,0.5127681307456589
16,25,15.0,10,sqrt,0.515832482124617
17,25,15.0,10,log2,0.5168539325842697
18,25,15.0,50,sqrt,0.5056179775280899
19,25,15.0,50,log2,0.501532175689479
20,25,20.0,2,sqrt,0.5188968335035751
21,25,20.0,2,log2,0.526046986721144
22,25,20.0,3,sqrt,0.49540347293156284
23,25,20.0,3,log2,0.5178753830439223
24,25,20.0,5,sqrt,0.526046986721144
25,25,20.0,5,log2,0.5209397344228804
26,25,20.0,10,sqrt,0.5229826353421859
27,25,20.0,10,log2,0.5127681307456589
28,25,20.0,50,sqrt,0.49846782431052095
29,25,20.0,50,log2,0.5137895812053116
30,25,,2,sqrt,0.49846782431052095
31,25,,2,log2,0.5005107252298263
32,25,,3,sqrt,0.4964249233912155
33,25,,3,log2,0.5107252298263534
34,25,,5,sqrt,0.501532175689479
35,25,,5,log2,0.5168539325842697
36,25,,10,sqrt,0.5035750766087844
37,25,,10,log2,0.5066394279877426
38,25,,50,sqrt,0.4964249233912155
39,25,,50,log2,0.5025536261491318
40,50,10.0,2,sqrt,0.501532175689479
41,50,10.0,2,log2,0.5250255362614913
42,50,10.0,3,sqrt,0.5209397344228804
43,50,10.0,3,log2,0.5168539325842697
44,50,10.0,5,sqrt,0.526046986721144
45,50,10.0,5,log2,0.5117466802860061
46,50,10.0,10,sqrt,0.5199182839632278
47,50,10.0,10,log2,0.5076608784473953
48,50,10.0,50,sqrt,0.5076608784473953
49,50,10.0,50,log2,0.515832482124617
50,50,15.0,2,sqrt,0.5168539325842697
51,50,15.0,2,log2,0.5056179775280899
52,50,15.0,3,sqrt,0.4943820224719101
53,50,15.0,3,log2,0.5148110316649642
54,50,15.0,5,sqrt,0.49948927477017363
55,50,15.0,5,log2,0.5188968335035751
56,50,15.0,10,sqrt,0.5107252298263534
57,50,15.0,10,log2,0.5209397344228804
58,50,15.0,50,sqrt,0.508682328907048
59,50,15.0,50,log2,0.5229826353421859
60,50,20.0,2,sqrt,0.5076608784473953
61,50,20.0,2,log2,0.5117466802860061
62,50,20.0,3,sqrt,0.5209397344228804
63,50,20.0,3,log2,0.5127681307456589
64,50,20.0,5,sqrt,0.5127681307456589
65,50,20.0,5,log2,0.5168539325842697
66,50,20.0,10,sqrt,0.4933605720122574
67,50,20.0,10,log2,0.5209397344228804
68,50,20.0,50,sqrt,0.5127681307456589
69,50,20.0,50,log2,0.5168539325842697
70,50,,2,sqrt,0.5168539325842697
71,50,,2,log2,0.5097037793667007
72,50,,3,sqrt,0.526046986721144
73,50,,3,log2,0.501532175689479
74,50,,5,sqrt,0.5240040858018387
75,50,,5,log2,0.515832482124617
76,50,,10,sqrt,0.5178753830439223
77,50,,10,log2,0.5107252298263534
78,50,,50,sqrt,0.4933605720122574
79,50,,50,log2,0.508682328907048
80,100,10.0,2,sqrt,0.5199182839632278
81,100,10.0,2,log2,0.5076608784473953
82,100,10.0,3,sqrt,0.5240040858018387
83,100,10.0,3,log2,0.5188968335035751
84,100,10.0,5,sqrt,0.515832482124617
85,100,10.0,5,log2,0.5117466802860061
86,100,10.0,10,sqrt,0.526046986721144
87,100,10.0,10,log2,0.5097037793667007
88,100,10.0,50,sqrt,0.5005107252298263
89,100,10.0,50,log2,0.5035750766087844
90,100,15.0,2,sqrt,0.5178753830439223
91,100,15.0,2,log2,0.5076608784473953
92,100,15.0,3,sqrt,0.5148110316649642
93,100,15.0,3,log2,0.5209397344228804
94,100,15.0,5,sqrt,0.5127681307456589
95,100,15.0,5,log2,0.5117466802860061
96,100,15.0,10,sqrt,0.5168539325842697
97,100,15.0,10,log2,0.5311542390194075
98,100,15.0,50,sqrt,0.5056179775280899
99,100,15.0,50,log2,0.49846782431052095
100,100,20.0,2,sqrt,0.5219611848825332
101,100,20.0,2,log2,0.5117466802860061
102,100,20.0,3,sqrt,0.5066394279877426
103,100,20.0,3,log2,0.5097037793667007
104,100,20.0,5,sqrt,0.5229826353421859
105,100,20.0,5,log2,0.5148110316649642
106,100,20.0,10,sqrt,0.5199182839632278
107,100,20.0,10,log2,0.5107252298263534
108,100,20.0,50,sqrt,0.5045965270684372
109,100,20.0,50,log2,0.49948927477017363
110,100,,2,sqrt,0.5066394279877426
111,100,,2,log2,0.5178753830439223
112,100,,3,sqrt,0.49846782431052095
113,100,,3,log2,0.5250255362614913
114,100,,5,sqrt,0.5178753830439223
115,100,,5,log2,0.5137895812053116
116,100,,10,sqrt,0.5199182839632278
117,100,,10,log2,0.5107252298263534
118,100,,50,sqrt,0.5056179775280899
119,100,,50,log2,0.5056179775280899
120,150,10.0,2,sqrt,0.5045965270684372
121,150,10.0,2,log2,0.5148110316649642
122,150,10.0,3,sqrt,0.5127681307456589
123,150,10.0,3,log2,0.5025536261491318
124,150,10.0,5,sqrt,0.5178753830439223
125,150,10.0,5,log2,0.5229826353421859
126,150,10.0,10,sqrt,0.5148110316649642
127,150,10.0,10,log2,0.5168539325842697
128,150,10.0,50,sqrt,0.501532175689479
129,150,10.0,50,log2,0.5301327885597549
130,150,15.0,2,sqrt,0.5168539325842697
131,150,15.0,2,log2,0.5107252298263534
132,150,15.0,3,sqrt,0.515832482124617
133,150,15.0,3,log2,0.5168539325842697
134,150,15.0,5,sqrt,0.5219611848825332
135,150,15.0,5,log2,0.5199182839632278
136,150,15.0,10,sqrt,0.5280898876404494
137,150,15.0,10,log2,0.5168539325842697
138,150,15.0,50,sqrt,0.5025536261491318
139,150,15.0,50,log2,0.5066394279877426
140,150,20.0,2,sqrt,0.515832482124617
141,150,20.0,2,log2,0.5056179775280899
142,150,20.0,3,sqrt,0.5168539325842697
143,150,20.0,3,log2,0.5240040858018387
144,150,20.0,5,sqrt,0.5127681307456589
145,150,20.0,5,log2,0.526046986721144
146,150,20.0,10,sqrt,0.5148110316649642
147,150,20.0,10,log2,0.5107252298263534
148,150,20.0,50,sqrt,0.5076608784473953
149,150,20.0,50,log2,0.5250255362614913
150,150,,2,sqrt,0.5168539325842697
151,150,,2,log2,0.515832482124617
152,150,,3,sqrt,0.5209397344228804
153,150,,3,log2,0.5188968335035751
154,150,,5,sqrt,0.5188968335035751
155,150,,5,log2,0.5240040858018387
156,150,,10,sqrt,0.515832482124617
157,150,,10,log2,0.5250255362614913
158,150,,50,sqrt,0.5250255362614913
159,150,,50,log2,0.5178753830439223
160,200,10.0,2,sqrt,0.5270684371807968
161,200,10.0,2,log2,0.5240040858018387
162,200,10.0,3,sqrt,0.5137895812053116
163,200,10.0,3,log2,0.5219611848825332
164,200,10.0,5,sqrt,0.5066394279877426
165,200,10.0,5,log2,0.5117466802860061
166,200,10.0,10,sqrt,0.526046986721144
167,200,10.0,10,log2,0.5117466802860061
168,200,10.0,50,sqrt,0.5107252298263534
169,200,10.0,50,log2,0.5107252298263534
170,200,15.0,2,sqrt,0.5199182839632278
171,200,15.0,2,log2,0.508682328907048
172,200,15.0,3,sqrt,0.5178753830439223
173,200,15.0,3,log2,0.5076608784473953
174,200,15.0,5,sqrt,0.5199182839632278
175,200,15.0,5,log2,0.5240040858018387
176,200,15.0,10,sqrt,0.5209397344228804
177,200,15.0,10,log2,0.5178753830439223
178,200,15.0,50,sqrt,0.5005107252298263
179,200,15.0,50,log2,0.5168539325842697
180,200,20.0,2,sqrt,0.515832482124617
181,200,20.0,2,log2,0.5127681307456589
182,200,20.0,3,sqrt,0.5127681307456589
183,200,20.0,3,log2,0.5127681307456589
184,200,20.0,5,sqrt,0.508682328907048
185,200,20.0,5,log2,0.5045965270684372
186,200,20.0,10,sqrt,0.5117466802860061
187,200,20.0,10,log2,0.5178753830439223
188,200,20.0,50,sqrt,0.508682328907048
189,200,20.0,50,log2,0.49540347293156284
190,200,,2,sqrt,0.5117466802860061
191,200,,2,log2,0.5005107252298263
192,200,,3,sqrt,0.5148110316649642
193,200,,3,log2,0.5076608784473953
194,200,,5,sqrt,0.515832482124617
195,200,,5,log2,0.526046986721144
196,200,,10,sqrt,0.5270684371807968
197,200,,10,log2,0.5168539325842697
198,200,,50,sqrt,0.5117466802860061
199,200,,50,log2,0.5097037793667007
