,n_estimators,max_depth,min_samples_split,max_features,accuracy,precision
34,25,20.0,3,log2,0.49607390300230947,0.5102685624012638
35,25,20.0,3,,0.4914549653579677,0.506993006993007
36,25,20.0,5,sqrt,0.49930715935334874,0.5125475285171103
37,25,20.0,5,log2,0.48914549653579675,0.5042935206869633
38,25,20.0,5,,0.5020785219399538,0.516209476309227
39,25,20.0,10,sqrt,0.4854503464203233,0.5011709601873536
40,25,20.0,10,log2,0.49792147806004616,0.512998266897747
41,25,20.0,10,,0.4840646651270208,0.5
42,25,20.0,50,sqrt,0.48267898383371827,0.4989059080962801
43,25,20.0,50,log2,0.5039260969976905,0.5176374077112387
44,25,20.0,50,,0.5030023094688222,0.515084621044886
45,25,,2,sqrt,0.5016166281755197,0.514866979655712
46,25,,2,log2,0.49330254041570437,0.5077279752704791
47,25,,2,,0.49330254041570437,0.5084745762711864
48,25,,3,sqrt,0.4900692840646651,0.5055603079555175
49,25,,3,log2,0.48914549653579675,0.5045267489711934
50,25,,3,,0.5030023094688222,0.5172124265323258
51,25,,5,sqrt,0.4956120092378753,0.5095492742551566
52,25,,5,log2,0.4896073903002309,0.5051282051282051
53,25,,5,,0.49884526558891457,0.5141342756183745
54,25,,10,sqrt,0.4997690531177829,0.5137096774193548
55,25,,10,log2,0.49884526558891457,0.5132013201320133
56,25,,10,,0.49376443418013855,0.508460918614021
57,25,,50,sqrt,0.4983833718244804,0.511787072243346
58,25,,50,log2,0.5043879907621247,0.515850144092219
59,25,,50,,0.4942263279445728,0.5081845238095238
60,50,10.0,2,sqrt,0.4863741339491917,0.5017111567419575
61,50,10.0,2,log2,0.5002309468822171,0.512764405543399
62,50,10.0,2,,0.4956120092378753,0.5092114959469418
63,50,10.0,3,sqrt,0.4882217090069284,0.5030140656396517
64,50,10.0,3,log2,0.49653579676674364,0.5093167701863354
65,50,10.0,3,,0.49607390300230947,0.5095029239766082
66,50,10.0,5,sqrt,0.497459584295612,0.5098305084745762
67,50,10.0,5,log2,0.48729792147806006,0.5025906735751295
68,50,10.0,5,,0.5117782909930716,0.522189349112426
69,50,10.0,10,sqrt,0.5048498845265589,0.5154639175257731
70,50,10.0,10,log2,0.4886836027713626,0.5036710719530103
71,50,10.0,10,,0.5002309468822171,0.5137686860739575
72,50,10.0,50,sqrt,0.5002309468822171,0.5124732715609408
73,50,10.0,50,log2,0.4859122401847575,0.5014492753623189
74,50,10.0,50,,0.48914549653579675,0.5039941902687001
75,50,15.0,2,sqrt,0.49191685912240185,0.5061998541210795
76,50,15.0,2,log2,0.4863741339491917,0.5018811136192626
77,50,15.0,2,,0.5066974595842956,0.5193370165745856
78,50,15.0,3,sqrt,0.49792147806004616,0.5110619469026548
79,50,15.0,3,log2,0.5016166281755197,0.514751552795031
80,50,15.0,3,,0.48729792147806006,0.5027195027195027
81,50,15.0,5,sqrt,0.5020785219399538,0.5146506386175808
82,50,15.0,5,log2,0.505311778290993,0.5176651305683564
83,50,15.0,5,,0.5006928406466513,0.5142405063291139
84,50,15.0,10,sqrt,0.4868360277136259,0.5022970903522205
85,50,15.0,10,log2,0.48452655889145496,0.5003657644476956
86,50,15.0,10,,0.4896073903002309,0.5048939641109299
87,50,15.0,50,sqrt,0.4863741339491917,0.5018155410312273
88,50,15.0,50,log2,0.49468822170900695,0.5087585681645087
89,50,15.0,50,,0.49884526558891457,0.5127186009538951
90,50,20.0,2,sqrt,0.4997690531177829,0.5130769230769231
91,50,20.0,2,log2,0.4969976905311778,0.5119250425894378
92,50,20.0,2,,0.48729792147806006,0.502815768302494
93,50,20.0,3,sqrt,0.4956120092378753,0.509773260359656
