,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.4686064318529862
1,25,10.0,2,log2,0.4762633996937213
2,25,10.0,3,sqrt,0.4655436447166922
3,25,10.0,3,log2,0.44869831546707506
4,25,10.0,5,sqrt,0.4686064318529862
5,25,10.0,5,log2,0.4793261868300153
6,25,10.0,10,sqrt,0.4655436447166922
7,25,10.0,10,log2,0.48085758039816234
8,25,10.0,50,sqrt,0.4563552833078101
9,25,10.0,50,log2,0.4946401225114854
10,25,15.0,2,sqrt,0.49157733537519144
11,25,15.0,2,log2,0.49617151607963245
12,25,15.0,3,sqrt,0.4992343032159265
13,25,15.0,3,log2,0.47473200612557426
14,25,15.0,5,sqrt,0.48392036753445633
15,25,15.0,5,log2,0.49310872894333846
16,25,15.0,10,sqrt,0.49157733537519144
17,25,15.0,10,log2,0.4885145482388974
18,25,15.0,50,sqrt,0.5038284839203675
19,25,15.0,50,log2,0.4992343032159265
20,25,20.0,2,sqrt,0.5007656967840735
21,25,20.0,2,log2,0.48392036753445633
22,25,20.0,3,sqrt,0.48392036753445633
23,25,20.0,3,log2,0.48392036753445633
24,25,20.0,5,sqrt,0.46401225114854516
25,25,20.0,5,log2,0.48545176110260335
26,25,20.0,10,sqrt,0.4946401225114854
27,25,20.0,10,log2,0.4946401225114854
28,25,20.0,50,sqrt,0.49310872894333846
29,25,20.0,50,log2,0.49310872894333846
30,25,,2,sqrt,0.5022970903522205
31,25,,2,log2,0.4900459418070444
32,25,,3,sqrt,0.4885145482388974
33,25,,3,log2,0.4885145482388974
34,25,,5,sqrt,0.4762633996937213
35,25,,5,log2,0.49770290964777947
36,25,,10,sqrt,0.5130168453292496
37,25,,10,log2,0.49617151607963245
38,25,,50,sqrt,0.46401225114854516
39,25,,50,log2,0.4762633996937213
40,50,10.0,2,sqrt,0.4900459418070444
41,50,10.0,2,log2,0.47320061255742724
42,50,10.0,3,sqrt,0.47320061255742724
43,50,10.0,3,log2,0.48085758039816234
44,50,10.0,5,sqrt,0.4946401225114854
45,50,10.0,5,log2,0.48085758039816234
46,50,10.0,10,sqrt,0.46401225114854516
47,50,10.0,10,log2,0.48085758039816234
48,50,10.0,50,sqrt,0.4992343032159265
49,50,10.0,50,log2,0.4762633996937213
50,50,15.0,2,sqrt,0.47320061255742724
51,50,15.0,2,log2,0.49770290964777947
52,50,15.0,3,sqrt,0.4793261868300153
53,50,15.0,3,log2,0.5130168453292496
54,50,15.0,5,sqrt,0.4793261868300153
55,50,15.0,5,log2,0.48085758039816234
56,50,15.0,10,sqrt,0.4900459418070444
57,50,15.0,10,log2,0.49310872894333846
58,50,15.0,50,sqrt,0.46401225114854516
59,50,15.0,50,log2,0.4762633996937213
60,50,20.0,2,sqrt,0.4946401225114854
61,50,20.0,2,log2,0.4885145482388974
62,50,20.0,3,sqrt,0.5007656967840735
63,50,20.0,3,log2,0.5022970903522205
64,50,20.0,5,sqrt,0.48085758039816234
65,50,20.0,5,log2,0.5038284839203675
66,50,20.0,10,sqrt,0.48545176110260335
67,50,20.0,10,log2,0.5038284839203675
68,50,20.0,50,sqrt,0.48545176110260335
69,50,20.0,50,log2,0.4609494640122512
70,50,,2,sqrt,0.4793261868300153
71,50,,2,log2,0.5176110260336907
72,50,,3,sqrt,0.4992343032159265
73,50,,3,log2,0.4885145482388974
74,50,,5,sqrt,0.5068912710566615
75,50,,5,log2,0.49770290964777947
76,50,,10,sqrt,0.5099540581929556
77,50,,10,log2,0.5053598774885145
78,50,,50,sqrt,0.48545176110260335
79,50,,50,log2,0.5007656967840735
80,100,10.0,2,sqrt,0.4869831546707504
81,100,10.0,2,log2,0.4670750382848392
82,100,10.0,3,sqrt,0.4793261868300153
83,100,10.0,3,log2,0.4777947932618683
84,100,10.0,5,sqrt,0.5007656967840735
85,100,10.0,5,log2,0.46248085758039814
86,100,10.0,10,sqrt,0.4900459418070444
87,100,10.0,10,log2,0.47013782542113325
88,100,10.0,50,sqrt,0.47166921898928027
89,100,10.0,50,log2,0.4762633996937213
90,100,15.0,2,sqrt,0.4762633996937213
91,100,15.0,2,log2,0.49617151607963245
92,100,15.0,3,sqrt,0.48238897396630936
93,100,15.0,3,log2,0.5038284839203675
94,100,15.0,5,sqrt,0.4946401225114854
95,100,15.0,5,log2,0.4762633996937213
96,100,15.0,10,sqrt,0.46248085758039814
97,100,15.0,10,log2,0.5038284839203675
98,100,15.0,50,sqrt,0.4900459418070444
99,100,15.0,50,log2,0.48545176110260335
100,100,20.0,2,sqrt,0.49617151607963245
101,100,20.0,2,log2,0.49157733537519144
102,100,20.0,3,sqrt,0.49310872894333846
103,100,20.0,3,log2,0.5007656967840735
104,100,20.0,5,sqrt,0.4793261868300153
105,100,20.0,5,log2,0.5176110260336907
106,100,20.0,10,sqrt,0.4900459418070444
107,100,20.0,10,log2,0.4885145482388974
108,100,20.0,50,sqrt,0.4793261868300153
109,100,20.0,50,log2,0.4885145482388974
110,100,,2,sqrt,0.49770290964777947
111,100,,2,log2,0.5053598774885145
112,100,,3,sqrt,0.5099540581929556
113,100,,3,log2,0.5068912710566615
114,100,,5,sqrt,0.4946401225114854
115,100,,5,log2,0.4900459418070444
116,100,,10,sqrt,0.5022970903522205
117,100,,10,log2,0.5237366003062787
118,100,,50,sqrt,0.47473200612557426
119,100,,50,log2,0.4762633996937213
120,150,10.0,2,sqrt,0.48085758039816234
121,150,10.0,2,log2,0.4946401225114854
122,150,10.0,3,sqrt,0.49617151607963245
123,150,10.0,3,log2,0.46401225114854516
124,150,10.0,5,sqrt,0.47473200612557426
125,150,10.0,5,log2,0.4777947932618683
126,150,10.0,10,sqrt,0.4655436447166922
127,150,10.0,10,log2,0.48085758039816234
128,150,10.0,50,sqrt,0.4655436447166922
129,150,10.0,50,log2,0.4777947932618683
130,150,15.0,2,sqrt,0.4869831546707504
131,150,15.0,2,log2,0.4885145482388974
132,150,15.0,3,sqrt,0.49157733537519144
133,150,15.0,3,log2,0.4869831546707504
134,150,15.0,5,sqrt,0.48545176110260335
135,150,15.0,5,log2,0.47473200612557426
136,150,15.0,10,sqrt,0.49770290964777947
137,150,15.0,10,log2,0.4900459418070444
138,150,15.0,50,sqrt,0.48238897396630936
139,150,15.0,50,log2,0.47013782542113325
140,150,20.0,2,sqrt,0.4777947932618683
141,150,20.0,2,log2,0.5022970903522205
142,150,20.0,3,sqrt,0.4900459418070444
143,150,20.0,3,log2,0.5007656967840735
144,150,20.0,5,sqrt,0.5007656967840735
145,150,20.0,5,log2,0.5007656967840735
146,150,20.0,10,sqrt,0.4946401225114854
147,150,20.0,10,log2,0.5007656967840735
148,150,20.0,50,sqrt,0.49617151607963245
149,150,20.0,50,log2,0.47013782542113325
150,150,,2,sqrt,0.5022970903522205
151,150,,2,log2,0.49157733537519144
152,150,,3,sqrt,0.48545176110260335
153,150,,3,log2,0.5022970903522205
154,150,,5,sqrt,0.4946401225114854
155,150,,5,log2,0.4992343032159265
156,150,,10,sqrt,0.49770290964777947
157,150,,10,log2,0.4869831546707504
158,150,,50,sqrt,0.4670750382848392
159,150,,50,log2,0.47166921898928027
160,200,10.0,2,sqrt,0.4777947932618683
161,200,10.0,2,log2,0.46248085758039814
162,200,10.0,3,sqrt,0.47013782542113325
163,200,10.0,3,log2,0.49157733537519144
164,200,10.0,5,sqrt,0.48545176110260335
165,200,10.0,5,log2,0.48545176110260335
166,200,10.0,10,sqrt,0.48238897396630936
167,200,10.0,10,log2,0.4670750382848392
168,200,10.0,50,sqrt,0.4609494640122512
169,200,10.0,50,log2,0.4777947932618683
170,200,15.0,2,sqrt,0.4992343032159265
171,200,15.0,2,log2,0.49617151607963245
172,200,15.0,3,sqrt,0.48085758039816234
173,200,15.0,3,log2,0.5038284839203675
174,200,15.0,5,sqrt,0.4900459418070444
175,200,15.0,5,log2,0.47473200612557426
176,200,15.0,10,sqrt,0.4793261868300153
177,200,15.0,10,log2,0.49770290964777947
178,200,15.0,50,sqrt,0.4762633996937213
179,200,15.0,50,log2,0.49157733537519144
180,200,20.0,2,sqrt,0.48238897396630936
181,200,20.0,2,log2,0.4992343032159265
182,200,20.0,3,sqrt,0.5007656967840735
183,200,20.0,3,log2,0.4946401225114854
184,200,20.0,5,sqrt,0.4762633996937213
185,200,20.0,5,log2,0.5038284839203675
186,200,20.0,10,sqrt,0.4762633996937213
187,200,20.0,10,log2,0.5053598774885145
188,200,20.0,50,sqrt,0.4869831546707504
189,200,20.0,50,log2,0.4885145482388974
190,200,,2,sqrt,0.5053598774885145
191,200,,2,log2,0.5176110260336907
192,200,,3,sqrt,0.5022970903522205
193,200,,3,log2,0.49770290964777947
194,200,,5,sqrt,0.48085758039816234
195,200,,5,log2,0.4946401225114854
196,200,,10,sqrt,0.4992343032159265
197,200,,10,log2,0.5038284839203675
198,200,,50,sqrt,0.47473200612557426
199,200,,50,log2,0.47320061255742724
