,n_estimators,max_depth,min_samples_split,max_features,accuracy
0,25,10.0,2,sqrt,0.5214723926380368
1,25,10.0,2,log2,0.5263803680981595
2,25,10.0,3,sqrt,0.5214723926380368
3,25,10.0,3,log2,0.5263803680981595
4,25,10.0,5,sqrt,0.5177914110429448
5,25,10.0,5,log2,0.5447852760736196
6,25,10.0,10,sqrt,0.49447852760736194
7,25,10.0,10,log2,0.5239263803680981
8,25,10.0,50,sqrt,0.5361963190184049
9,25,10.0,50,log2,0.5116564417177915
10,25,15.0,2,sqrt,0.5374233128834356
11,25,15.0,2,log2,0.5263803680981595
12,25,15.0,3,sqrt,0.5312883435582823
13,25,15.0,3,log2,0.5312883435582823
14,25,15.0,5,sqrt,0.5411042944785276
15,25,15.0,5,log2,0.5312883435582823
16,25,15.0,10,sqrt,0.5263803680981595
17,25,15.0,10,log2,0.5288343558282208
18,25,15.0,50,sqrt,0.50920245398773
19,25,15.0,50,log2,0.5116564417177915
20,25,20.0,2,sqrt,0.5288343558282208
21,25,20.0,2,log2,0.5202453987730061
22,25,20.0,3,sqrt,0.5337423312883436
23,25,20.0,3,log2,0.5226993865030675
24,25,20.0,5,sqrt,0.550920245398773
25,25,20.0,5,log2,0.5349693251533743
26,25,20.0,10,sqrt,0.5190184049079755
27,25,20.0,10,log2,0.5251533742331288
28,25,20.0,50,sqrt,0.5104294478527608
29,25,20.0,50,log2,0.5226993865030675
30,25,,2,sqrt,0.5325153374233129
31,25,,2,log2,0.50920245398773
32,25,,3,sqrt,0.5202453987730061
33,25,,3,log2,0.5398773006134969
34,25,,5,sqrt,0.5325153374233129
35,25,,5,log2,0.5190184049079755
36,25,,10,sqrt,0.5374233128834356
37,25,,10,log2,0.5177914110429448
38,25,,50,sqrt,0.5116564417177915
39,25,,50,log2,0.5153374233128835
40,50,10.0,2,sqrt,0.5263803680981595
41,50,10.0,2,log2,0.50920245398773
42,50,10.0,3,sqrt,0.5226993865030675
43,50,10.0,3,log2,0.5141104294478528
44,50,10.0,5,sqrt,0.5128834355828221
45,50,10.0,5,log2,0.50920245398773
46,50,10.0,10,sqrt,0.5361963190184049
47,50,10.0,10,log2,0.5239263803680981
48,50,10.0,50,sqrt,0.5300613496932516
49,50,10.0,50,log2,0.5263803680981595
50,50,15.0,2,sqrt,0.5177914110429448
51,50,15.0,2,log2,0.5300613496932516
52,50,15.0,3,sqrt,0.5300613496932516
53,50,15.0,3,log2,0.5276073619631901
54,50,15.0,5,sqrt,0.5337423312883436
55,50,15.0,5,log2,0.5374233128834356
56,50,15.0,10,sqrt,0.5361963190184049
57,50,15.0,10,log2,0.501840490797546
58,50,15.0,50,sqrt,0.5276073619631901
59,50,15.0,50,log2,0.50920245398773
60,50,20.0,2,sqrt,0.5251533742331288
61,50,20.0,2,log2,0.5325153374233129
62,50,20.0,3,sqrt,0.5398773006134969
63,50,20.0,3,log2,0.5251533742331288
64,50,20.0,5,sqrt,0.550920245398773
65,50,20.0,5,log2,0.5263803680981595
66,50,20.0,10,sqrt,0.5423312883435583
67,50,20.0,10,log2,0.5263803680981595
68,50,20.0,50,sqrt,0.5128834355828221
69,50,20.0,50,log2,0.5226993865030675
70,50,,2,sqrt,0.5276073619631901
71,50,,2,log2,0.5276073619631901
72,50,,3,sqrt,0.561963190184049
73,50,,3,log2,0.5226993865030675
74,50,,5,sqrt,0.5202453987730061
75,50,,5,log2,0.5435582822085889
76,50,,10,sqrt,0.5423312883435583
77,50,,10,log2,0.5239263803680981
78,50,,50,sqrt,0.5239263803680981
79,50,,50,log2,0.5276073619631901
80,100,10.0,2,sqrt,0.5325153374233129
81,100,10.0,2,log2,0.5263803680981595
82,100,10.0,3,sqrt,0.5226993865030675
83,100,10.0,3,log2,0.5116564417177915
84,100,10.0,5,sqrt,0.5079754601226993
85,100,10.0,5,log2,0.5079754601226993
86,100,10.0,10,sqrt,0.5079754601226993
87,100,10.0,10,log2,0.5141104294478528
88,100,10.0,50,sqrt,0.5202453987730061
89,100,10.0,50,log2,0.5141104294478528
90,100,15.0,2,sqrt,0.5361963190184049
91,100,15.0,2,log2,0.5337423312883436
92,100,15.0,3,sqrt,0.5202453987730061
93,100,15.0,3,log2,0.5239263803680981
94,100,15.0,5,sqrt,0.5214723926380368
95,100,15.0,5,log2,0.5349693251533743
96,100,15.0,10,sqrt,0.5214723926380368
97,100,15.0,10,log2,0.5239263803680981
98,100,15.0,50,sqrt,0.5165644171779141
99,100,15.0,50,log2,0.5239263803680981
100,100,20.0,2,sqrt,0.5251533742331288
101,100,20.0,2,log2,0.5325153374233129
102,100,20.0,3,sqrt,0.5263803680981595
103,100,20.0,3,log2,0.5411042944785276
104,100,20.0,5,sqrt,0.5312883435582823
105,100,20.0,5,log2,0.5177914110429448
106,100,20.0,10,sqrt,0.5349693251533743
107,100,20.0,10,log2,0.5288343558282208
108,100,20.0,50,sqrt,0.5141104294478528
109,100,20.0,50,log2,0.5141104294478528
110,100,,2,sqrt,0.5276073619631901
111,100,,2,log2,0.5496932515337424
112,100,,3,sqrt,0.5460122699386503
113,100,,3,log2,0.5337423312883436
114,100,,5,sqrt,0.5361963190184049
115,100,,5,log2,0.5386503067484663
116,100,,10,sqrt,0.5190184049079755
117,100,,10,log2,0.5190184049079755
118,100,,50,sqrt,0.5325153374233129
119,100,,50,log2,0.5325153374233129
120,150,10.0,2,sqrt,0.5226993865030675
121,150,10.0,2,log2,0.5288343558282208
122,150,10.0,3,sqrt,0.5214723926380368
123,150,10.0,3,log2,0.5337423312883436
124,150,10.0,5,sqrt,0.5251533742331288
125,150,10.0,5,log2,0.5239263803680981
126,150,10.0,10,sqrt,0.5325153374233129
127,150,10.0,10,log2,0.5312883435582823
128,150,10.0,50,sqrt,0.5214723926380368
129,150,10.0,50,log2,0.5165644171779141
130,150,15.0,2,sqrt,0.5460122699386503
131,150,15.0,2,log2,0.5300613496932516
132,150,15.0,3,sqrt,0.5312883435582823
133,150,15.0,3,log2,0.5398773006134969
134,150,15.0,5,sqrt,0.5349693251533743
135,150,15.0,5,log2,0.5288343558282208
136,150,15.0,10,sqrt,0.5349693251533743
137,150,15.0,10,log2,0.5165644171779141
138,150,15.0,50,sqrt,0.5214723926380368
139,150,15.0,50,log2,0.5165644171779141
140,150,20.0,2,sqrt,0.5386503067484663
141,150,20.0,2,log2,0.5337423312883436
142,150,20.0,3,sqrt,0.5263803680981595
143,150,20.0,3,log2,0.5165644171779141
144,150,20.0,5,sqrt,0.5361963190184049
145,150,20.0,5,log2,0.5398773006134969
146,150,20.0,10,sqrt,0.5263803680981595
147,150,20.0,10,log2,0.5263803680981595
