,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
0,25,10.0,0.01,1,0,0.49157733537519144,0.711038961038961
1,25,10.0,0.01,1,1,0.48392036753445633,0.711038961038961
2,25,10.0,0.01,1,2,0.49310872894333846,0.711038961038961
3,25,10.0,0.01,1,3,0.48545176110260335,0.711038961038961
4,25,10.0,0.01,2,0,0.4609494640122512,0.711038961038961
5,25,10.0,0.01,2,1,0.46401225114854516,0.711038961038961
6,25,10.0,0.01,2,2,0.4869831546707504,0.711038961038961
7,25,10.0,0.01,2,3,0.47013782542113325,0.711038961038961
8,25,10.0,0.01,3,0,0.45941807044410415,0.711038961038961
9,25,10.0,0.01,3,1,0.450229709035222,0.711038961038961
10,25,10.0,0.01,3,2,0.45176110260336905,0.711038961038961
11,25,10.0,0.01,3,3,0.4563552833078101,0.711038961038961
12,25,10.0,0.01,4,0,0.46248085758039814,0.711038961038961
13,25,10.0,0.01,4,1,0.46248085758039814,0.711038961038961
14,25,10.0,0.01,4,2,0.46248085758039814,0.711038961038961
15,25,10.0,0.01,4,3,0.45788667687595713,0.711038961038961
16,25,10.0,0.1,1,0,0.4762633996937213,0.711038961038961
17,25,10.0,0.1,1,1,0.4686064318529862,0.711038961038961
18,25,10.0,0.1,1,2,0.4762633996937213,0.711038961038961
19,25,10.0,0.1,1,3,0.4869831546707504,0.711038961038961
20,25,10.0,0.1,2,0,0.48085758039816234,0.711038961038961
21,25,10.0,0.1,2,1,0.4946401225114854,0.711038961038961
22,25,10.0,0.1,2,2,0.4762633996937213,0.711038961038961
23,25,10.0,0.1,2,3,0.4777947932618683,0.711038961038961
24,25,10.0,0.1,3,0,0.46401225114854516,0.711038961038961
25,25,10.0,0.1,3,1,0.4777947932618683,0.711038961038961
26,25,10.0,0.1,3,2,0.47320061255742724,0.711038961038961
27,25,10.0,0.1,3,3,0.4869831546707504,0.711038961038961
28,25,10.0,0.1,4,0,0.4869831546707504,0.711038961038961
29,25,10.0,0.1,4,1,0.4777947932618683,0.711038961038961
30,25,10.0,0.1,4,2,0.4670750382848392,0.711038961038961
31,25,10.0,0.1,4,3,0.48238897396630936,0.711038961038961
32,25,10.0,0.2,1,0,0.4869831546707504,0.711038961038961
33,25,10.0,0.2,1,1,0.4793261868300153,0.711038961038961
34,25,10.0,0.2,1,2,0.47166921898928027,0.711038961038961
35,25,10.0,0.2,1,3,0.47320061255742724,0.711038961038961
36,25,10.0,0.2,2,0,0.4869831546707504,0.711038961038961
37,25,10.0,0.2,2,1,0.45329249617151607,0.711038961038961
38,25,10.0,0.2,2,2,0.4777947932618683,0.711038961038961
39,25,10.0,0.2,2,3,0.4869831546707504,0.711038961038961
40,25,10.0,0.2,3,0,0.4777947932618683,0.711038961038961
41,25,10.0,0.2,3,1,0.5038284839203675,0.711038961038961
42,25,10.0,0.2,3,2,0.48392036753445633,0.711038961038961
43,25,10.0,0.2,3,3,0.47320061255742724,0.711038961038961
44,25,10.0,0.2,4,0,0.48238897396630936,0.711038961038961
45,25,10.0,0.2,4,1,0.4885145482388974,0.711038961038961
46,25,10.0,0.2,4,2,0.4670750382848392,0.711038961038961
47,25,10.0,0.2,4,3,0.4655436447166922,0.711038961038961
48,25,10.0,0.3,1,0,0.4793261868300153,0.711038961038961
49,25,10.0,0.3,1,1,0.5084226646248086,0.711038961038961
50,25,10.0,0.3,1,2,0.49770290964777947,0.711038961038961
51,25,10.0,0.3,1,3,0.4869831546707504,0.711038961038961
52,25,10.0,0.3,2,0,0.4900459418070444,0.711038961038961
53,25,10.0,0.3,2,1,0.48392036753445633,0.711038961038961
54,25,10.0,0.3,2,2,0.4655436447166922,0.711038961038961
55,25,10.0,0.3,2,3,0.4563552833078101,0.711038961038961
56,25,10.0,0.3,3,0,0.4900459418070444,0.711038961038961
57,25,10.0,0.3,3,1,0.4992343032159265,0.711038961038961
58,25,10.0,0.3,3,2,0.5114854517611026,0.711038961038961
59,25,10.0,0.3,3,3,0.4762633996937213,0.711038961038961
60,25,10.0,0.3,4,0,0.48085758039816234,0.711038961038961
61,25,10.0,0.3,4,1,0.4946401225114854,0.711038961038961
62,25,10.0,0.3,4,2,0.47013782542113325,0.711038961038961
63,25,10.0,0.3,4,3,0.4900459418070444,0.711038961038961
64,25,15.0,0.01,1,0,0.48085758039816234,0.711038961038961
65,25,15.0,0.01,1,1,0.5084226646248086,0.711038961038961
66,25,15.0,0.01,1,2,0.4885145482388974,0.711038961038961
67,25,15.0,0.01,1,3,0.48238897396630936,0.711038961038961
68,25,15.0,0.01,2,0,0.4609494640122512,0.711038961038961
69,25,15.0,0.01,2,1,0.47013782542113325,0.711038961038961
70,25,15.0,0.01,2,2,0.4609494640122512,0.711038961038961
71,25,15.0,0.01,2,3,0.4655436447166922,0.711038961038961
72,25,15.0,0.01,3,0,0.4686064318529862,0.711038961038961
73,25,15.0,0.01,3,1,0.45176110260336905,0.711038961038961
74,25,15.0,0.01,3,2,0.45176110260336905,0.711038961038961
75,25,15.0,0.01,3,3,0.4762633996937213,0.711038961038961
76,25,15.0,0.01,4,0,0.47166921898928027,0.711038961038961
77,25,15.0,0.01,4,1,0.4686064318529862,0.711038961038961
78,25,15.0,0.01,4,2,0.4793261868300153,0.711038961038961
79,25,15.0,0.01,4,3,0.4762633996937213,0.711038961038961
80,25,15.0,0.1,1,0,0.4869831546707504,0.711038961038961
81,25,15.0,0.1,1,1,0.5022970903522205,0.711038961038961
82,25,15.0,0.1,1,2,0.4885145482388974,0.711038961038961
83,25,15.0,0.1,1,3,0.4946401225114854,0.711038961038961
84,25,15.0,0.1,2,0,0.48545176110260335,0.711038961038961
85,25,15.0,0.1,2,1,0.47013782542113325,0.711038961038961
86,25,15.0,0.1,2,2,0.48392036753445633,0.711038961038961
87,25,15.0,0.1,2,3,0.47473200612557426,0.711038961038961
88,25,15.0,0.1,3,0,0.4869831546707504,0.711038961038961
89,25,15.0,0.1,3,1,0.4655436447166922,0.711038961038961
90,25,15.0,0.1,3,2,0.4609494640122512,0.711038961038961
91,25,15.0,0.1,3,3,0.47473200612557426,0.711038961038961
92,25,15.0,0.1,4,0,0.47166921898928027,0.711038961038961
93,25,15.0,0.1,4,1,0.47166921898928027,0.711038961038961
94,25,15.0,0.1,4,2,0.4762633996937213,0.711038961038961
95,25,15.0,0.1,4,3,0.4777947932618683,0.711038961038961
96,25,15.0,0.2,1,0,0.5038284839203675,0.711038961038961
97,25,15.0,0.2,1,1,0.49157733537519144,0.711038961038961
98,25,15.0,0.2,1,2,0.49770290964777947,0.711038961038961
99,25,15.0,0.2,1,3,0.5022970903522205,0.711038961038961
100,25,15.0,0.2,2,0,0.4762633996937213,0.711038961038961
101,25,15.0,0.2,2,1,0.4777947932618683,0.711038961038961
102,25,15.0,0.2,2,2,0.4762633996937213,0.711038961038961
103,25,15.0,0.2,2,3,0.4900459418070444,0.711038961038961
104,25,15.0,0.2,3,0,0.48085758039816234,0.711038961038961
105,25,15.0,0.2,3,1,0.48085758039816234,0.711038961038961
106,25,15.0,0.2,3,2,0.4670750382848392,0.711038961038961
107,25,15.0,0.2,3,3,0.48085758039816234,0.711038961038961
108,25,15.0,0.2,4,0,0.4900459418070444,0.711038961038961
109,25,15.0,0.2,4,1,0.47013782542113325,0.711038961038961
110,25,15.0,0.2,4,2,0.48085758039816234,0.711038961038961
111,25,15.0,0.2,4,3,0.4777947932618683,0.711038961038961
112,25,15.0,0.3,1,0,0.5114854517611026,0.711038961038961
113,25,15.0,0.3,1,1,0.4869831546707504,0.711038961038961
114,25,15.0,0.3,1,2,0.46401225114854516,0.711038961038961
115,25,15.0,0.3,1,3,0.48238897396630936,0.711038961038961
116,25,15.0,0.3,2,0,0.49770290964777947,0.711038961038961
117,25,15.0,0.3,2,1,0.5053598774885145,0.711038961038961
118,25,15.0,0.3,2,2,0.5022970903522205,0.711038961038961
119,25,15.0,0.3,2,3,0.48392036753445633,0.711038961038961
120,25,15.0,0.3,3,0,0.5191424196018377,0.711038961038961
121,25,15.0,0.3,3,1,0.47473200612557426,0.711038961038961
122,25,15.0,0.3,3,2,0.4992343032159265,0.711038961038961
123,25,15.0,0.3,3,3,0.4900459418070444,0.711038961038961
124,25,15.0,0.3,4,0,0.4762633996937213,0.711038961038961
