,n_estimators,max_depth,learning_rate,min_child_weight,gamma,accuracy,precision
0,25,10.0,0.01,1,0,0.508682328907048,0.8125
1,25,10.0,0.01,1,1,0.5025536261491318,0.8125
2,25,10.0,0.01,1,2,0.5025536261491318,0.8125
3,25,10.0,0.01,1,3,0.508682328907048,0.8125
4,25,10.0,0.01,2,0,0.49846782431052095,0.8125
5,25,10.0,0.01,2,1,0.501532175689479,0.8125
6,25,10.0,0.01,2,2,0.5025536261491318,0.8125
7,25,10.0,0.01,2,3,0.5025536261491318,0.8125
8,25,10.0,0.01,3,0,0.5137895812053116,0.8125
9,25,10.0,0.01,3,1,0.5117466802860061,0.8125
10,25,10.0,0.01,3,2,0.5097037793667007,0.8125
11,25,10.0,0.01,3,3,0.5035750766087844,0.8125
12,25,10.0,0.01,4,0,0.5066394279877426,0.8125
13,25,10.0,0.01,4,1,0.49948927477017363,0.8125
14,25,10.0,0.01,4,2,0.5199182839632278,0.8125
15,25,10.0,0.01,4,3,0.5199182839632278,0.8125
16,25,10.0,0.1,1,0,0.5035750766087844,0.8125
17,25,10.0,0.1,1,1,0.5035750766087844,0.8125
18,25,10.0,0.1,1,2,0.508682328907048,0.8125
19,25,10.0,0.1,1,3,0.515832482124617,0.8125
20,25,10.0,0.1,2,0,0.5137895812053116,0.8125
21,25,10.0,0.1,2,1,0.5240040858018387,0.8125
22,25,10.0,0.1,2,2,0.5148110316649642,0.8125
23,25,10.0,0.1,2,3,0.5117466802860061,0.8125
24,25,10.0,0.1,3,0,0.5107252298263534,0.8125
25,25,10.0,0.1,3,1,0.5035750766087844,0.8125
26,25,10.0,0.1,3,2,0.5076608784473953,0.8125
27,25,10.0,0.1,3,3,0.5168539325842697,0.8125
28,25,10.0,0.1,4,0,0.5056179775280899,0.8125
29,25,10.0,0.1,4,1,0.5148110316649642,0.8125
30,25,10.0,0.1,4,2,0.526046986721144,0.8125
31,25,10.0,0.1,4,3,0.5229826353421859,0.8125
32,25,10.0,0.2,1,0,0.5025536261491318,0.8125
33,25,10.0,0.2,1,1,0.5127681307456589,0.8125
34,25,10.0,0.2,1,2,0.5117466802860061,0.8125
35,25,10.0,0.2,1,3,0.5229826353421859,0.8125
36,25,10.0,0.2,2,0,0.5188968335035751,0.8125
37,25,10.0,0.2,2,1,0.5178753830439223,0.8125
38,25,10.0,0.2,2,2,0.5270684371807968,0.8125
39,25,10.0,0.2,2,3,0.508682328907048,0.8125
40,25,10.0,0.2,3,0,0.515832482124617,0.8125
41,25,10.0,0.2,3,1,0.5250255362614913,0.8125
42,25,10.0,0.2,3,2,0.49846782431052095,0.8125
43,25,10.0,0.2,3,3,0.5148110316649642,0.8125
44,25,10.0,0.2,4,0,0.5188968335035751,0.8125
45,25,10.0,0.2,4,1,0.5107252298263534,0.8125
46,25,10.0,0.2,4,2,0.5168539325842697,0.8125
47,25,10.0,0.2,4,3,0.5168539325842697,0.8125
48,25,10.0,0.3,1,0,0.5117466802860061,0.8125
49,25,10.0,0.3,1,1,0.5219611848825332,0.8125
50,25,10.0,0.3,1,2,0.515832482124617,0.8125
51,25,10.0,0.3,1,3,0.5025536261491318,0.8125
52,25,10.0,0.3,2,0,0.5229826353421859,0.8125
53,25,10.0,0.3,2,1,0.5056179775280899,0.8125
54,25,10.0,0.3,2,2,0.5148110316649642,0.8125
55,25,10.0,0.3,2,3,0.5137895812053116,0.8125
56,25,10.0,0.3,3,0,0.515832482124617,0.8125
57,25,10.0,0.3,3,1,0.5076608784473953,0.8125
58,25,10.0,0.3,3,2,0.4943820224719101,0.8125
59,25,10.0,0.3,3,3,0.5025536261491318,0.8125
60,25,10.0,0.3,4,0,0.5005107252298263,0.8125
61,25,10.0,0.3,4,1,0.5056179775280899,0.8125
62,25,10.0,0.3,4,2,0.5229826353421859,0.8125
63,25,10.0,0.3,4,3,0.5076608784473953,0.8125
64,25,15.0,0.01,1,0,0.5025536261491318,0.8125
